dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,new_batch_unit,model,n_fit,n_calibration,n_test,mae,rmse,selected_candidate,final_epochs,estimator_class,tuning_seconds,final_fit_seconds,calibration_seconds,inference_seconds,inference_rows_per_second,model_phase_seconds,process_cpu_seconds,cpu_measurement_status,coverage90,mpiw90,winkler90,rank90,q90,coverage_deviation90,coverage95,mpiw95,winkler95,rank95,q95,coverage_deviation95,signed_coverage_deviation90,absolute_coverage_deviation90,signed_coverage_deviation95,absolute_coverage_deviation95,deterministic_baseline_alias
rico,5,2,43,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,74eb284e91314998933d2de50059b1b6b26eb11ff0398586688a4f60985be4fd,True,xgboost,12932,4452,8692,0.28833440296999935,0.4575429241977966,1,,xgboost.sklearn.XGBRegressor,3.6264028000005055,1.2947019999992335,0.0786733999993885,0.14803580001171213,58715.52691519427,5.14781400001084,5.0625,measured,0.4787160607455131,0.3388984680175753,3.5693801419942446,4008,0.16944923400878764,-0.4212839392544869,0.674643350207087,0.5792343139648466,5.065537093083957,4231,0.2896171569824233,-0.27535664979291297,-0.4212839392544869,0.4212839392544869,-0.27535664979291297,0.27535664979291297,False
rico,5,2,43,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,74eb284e91314998933d2de50059b1b6b26eb11ff0398586688a4f60985be4fd,True,attention_lstm,12932,4452,8692,2.594214298601146,2.997098435025381,0,5.0,src.attention_lstm.AttentionLSTM,62.33006059999752,9.229634700008319,0.18640159998903982,0.36251659999834374,23976.833060995585,72.10861349999323,69.4375,measured,0.13782788771283938,1.6013786315917997,38.515414000369404,4008,0.8006893157958999,-0.7621721122871606,0.1606074551311551,1.903597259521483,70.5891708303803,4231,0.9517986297607415,-0.7893925448688448,-0.7621721122871606,0.7621721122871606,-0.7893925448688448,0.7893925448688448,False
rico,15,2,43,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6118ae753e7869a6676eab873bbd97832260b434782324da367a8542c2dd9c41,True,persistence,12322,4242,8282,0.20938179183772038,0.33076021266260025,0,,src.pilot_forecasters.Persistence,0.0,0.00039180000021588057,0.0025613000034354627,0.004588899988448247,1804789.8234540927,0.007541999992099591,0.0,measured,0.9153586090316349,1.0,1.658295097802463,3819,0.5,0.015358609031634884,0.9629316590195605,1.6000000000000014,2.1462448683892776,4031,0.8000000000000007,0.012931659019560504,0.015358609031634884,0.015358609031634884,0.012931659019560504,0.012931659019560504,True
rico,15,2,43,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6118ae753e7869a6676eab873bbd97832260b434782324da367a8542c2dd9c41,True,xgboost,12322,4242,8282,0.383518598022682,0.5478541777805537,0,,xgboost.sklearn.XGBRegressor,3.3065476000047056,0.7891462999978103,0.06465300000854768,0.13884970000071917,59647.230062125476,4.299196600011783,4.25,measured,0.682564597923207,0.8795959472656278,3.2587551151027774,3819,0.4397979736328139,-0.21743540207679302,0.777589954117363,1.158412170410159,4.442901674706806,4031,0.5792060852050795,-0.17241004588263698,-0.21743540207679302,0.21743540207679302,-0.17241004588263698,0.17241004588263698,False
rico,15,2,43,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6118ae753e7869a6676eab873bbd97832260b434782324da367a8542c2dd9c41,True,attention_lstm,12322,4242,8282,2.8085448794997103,3.194394953123783,0,6.0,src.attention_lstm.AttentionLSTM,54.55791780000436,10.874750499991933,0.18305929999041837,0.34398210000654217,24076.83423016048,65.95970969999325,65.203125,measured,0.09816469451823231,1.5753143310546847,42.84565804893056,3819,0.7876571655273423,-0.8018353054817677,0.11156725428640425,1.819920349121091,79.97536352544957,4031,0.9099601745605455,-0.8384327457135957,-0.8018353054817677,0.8018353054817677,-0.8384327457135957,0.8384327457135957,False
rico,30,2,43,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,050b5ce09462d58b7bce831cbc47f90ab7c8a1dad2cdbf0f11daf141c77b099b,True,persistence,11407,3927,7667,0.38969610016955786,0.5994280130858491,0,,src.pilot_forecasters.Persistence,0.0,0.0005375000037020072,0.0029097000078763813,0.00438410000060685,1748819.5978510366,0.007831300012185238,0.0,measured,0.921612103821573,2.0,3.0014347202295553,3536,1.0,0.02161210382157297,0.9641319942611191,3.0,3.8623972870744745,3732,1.5,0.014131994261119107,0.02161210382157297,0.02161210382157297,0.014131994261119107,0.014131994261119107,True
rico,30,2,43,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,050b5ce09462d58b7bce831cbc47f90ab7c8a1dad2cdbf0f11daf141c77b099b,True,xgboost,11407,3927,7667,0.6901035285950703,0.9480814017578155,1,,xgboost.sklearn.XGBRegressor,3.2243925999937346,1.1814759999979287,0.0717579000047408,0.1454959999973653,52695.6067530299,4.6231224999937695,4.46875,measured,0.6164079822616408,1.295999145507814,6.610559422353788,3536,0.647999572753907,-0.2835920177383592,0.7888352680318247,2.1206932067871094,7.982106318883667,3732,1.0603466033935547,-0.16116473196817527,-0.2835920177383592,0.2835920177383592,-0.16116473196817527,0.16116473196817527,False
rico,30,2,43,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,050b5ce09462d58b7bce831cbc47f90ab7c8a1dad2cdbf0f11daf141c77b099b,True,attention_lstm,11407,3927,7667,3.1813461449492375,3.500907949726539,0,19.0,src.attention_lstm.AttentionLSTM,82.13027389999479,31.490185799993924,0.16130350000457838,0.3134071000094991,24463.389628912744,114.09517030000279,112.09375,measured,0.06312769010043041,1.5912155151367173,49.76551666160258,3536,0.7956077575683587,-0.8368723098995696,0.09130037824442415,1.9049430847167912,92.47995505889581,3732,0.9524715423583956,-0.8586996217555758,-0.8368723098995696,0.8368723098995696,-0.8586996217555758,0.8586996217555758,False
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,True,persistence,9577,3297,6437,0.7156750038837967,1.041377894828978,0,,src.pilot_forecasters.Persistence,0.0,0.0004616999940481037,0.002090300011332147,0.003089599995291792,2083441.2253396153,0.005641600000672042,0.015625,measured,0.924188286468852,3.6000000000000014,5.100388379679974,2969,1.8000000000000007,0.02418828646885196,0.9608513282585055,5.0,6.397545440422556,3134,2.5,0.010851328258505544,0.02418828646885196,0.02418828646885196,0.010851328258505544,0.010851328258505544,True
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,True,xgboost,9577,3297,6437,1.2461093089512756,1.8670279524605418,0,,xgboost.sklearn.XGBRegressor,2.916719499989995,0.6289911000058055,0.05241059999389108,0.1040074999909848,61889.76757020358,3.702128699980676,3.625,measured,0.6872766816840143,3.0183586120605463,10.606001338037222,2969,1.5091793060302727,-0.21272331831598568,0.870281186888302,4.954713439941407,11.72217643776905,3134,2.477356719970704,-0.07971881311169793,-0.21272331831598568,0.21272331831598568,-0.07971881311169793,0.07971881311169793,False
