candidate_id,group_id,exposure_days,clean_episodes,unmatched_episodes,corrupted_episodes,time_in_alert_days,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,tp0,tp1,tp2,tp3,tp4,tp5,tp6,tp7,tp8,tp9,tp10,tp11,tp12,tp13,tp14,tp15,tp16,tp17,tp18,tp19,tp20,outer_fold
c0024_ba16b82adffd,Hog_assembly_Colette,144.79166666666666,155.0,522.0,781.0,7.975,6.0,8.0,11.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,18.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,18.0,6.0,8.0,10.0,15.0,15.0,14.0,5.0,3.0,3.0,16.0,17.0,18.0,8.0,18.0,20.0,9.0,19.0,20.0,6.0,11.0,18.0,2
c0024_ba16b82adffd,Hog_assembly_Dona,144.79166666666666,166.0,637.0,906.0,9.208333333333334,3.0,13.0,17.0,20.0,20.0,20.0,20.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,3.0,13.0,17.0,20.0,20.0,19.0,6.0,3.0,8.0,17.0,16.0,15.0,10.0,14.0,15.0,8.0,13.0,15.0,7.0,14.0,16.0,2
c0024_ba16b82adffd,Lamb_assembly_Bertie,144.79166666666666,143.0,497.0,764.0,8.858333333333333,4.0,8.0,15.0,15.0,15.0,15.0,13.0,14.0,16.0,18.0,19.0,20.0,20.0,20.0,20.0,20.0,19.0,18.0,17.0,16.0,15.0,4.0,7.0,15.0,15.0,15.0,15.0,5.0,6.0,11.0,15.0,15.0,19.0,13.0,17.0,20.0,12.0,16.0,17.0,5.0,12.0,13.0,2
c0024_ba16b82adffd,Lamb_assembly_Cesar,144.79166666666666,156.0,551.0,790.0,11.366666666666667,9.0,12.0,16.0,20.0,19.0,18.0,13.0,10.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,18.0,19.0,20.0,9.0,12.0,15.0,19.0,19.0,17.0,3.0,3.0,11.0,12.0,9.0,14.0,8.0,11.0,13.0,8.0,9.0,14.0,6.0,14.0,13.0,2
c0024_ba16b82adffd,Moose_education_Ricardo,144.04166666666666,129.0,483.0,751.0,8.591666666666667,3.0,7.0,15.0,15.0,16.0,17.0,17.0,19.0,20.0,20.0,20.0,20.0,20.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,15.0,3.0,7.0,14.0,15.0,16.0,17.0,2.0,4.0,6.0,20.0,20.0,20.0,15.0,17.0,18.0,7.0,16.0,15.0,8.0,13.0,15.0,2
c0024_ba16b82adffd,Mouse_health_Estela,144.79166666666666,150.0,450.0,729.0,9.158333333333333,6.0,11.0,18.0,17.0,16.0,15.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,18.0,19.0,20.0,20.0,20.0,20.0,6.0,11.0,18.0,17.0,16.0,15.0,1.0,7.0,6.0,15.0,15.0,15.0,10.0,15.0,17.0,10.0,17.0,20.0,10.0,19.0,19.0,2
c0024_ba16b82adffd,Mouse_health_Justin,144.79166666666666,139.0,452.0,726.0,9.066666666666666,4.0,8.0,16.0,18.0,19.0,20.0,17.0,20.0,19.0,20.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,4.0,8.0,16.0,18.0,19.0,20.0,4.0,7.0,7.0,20.0,19.0,18.0,12.0,16.0,15.0,9.0,15.0,15.0,7.0,11.0,14.0,2
diagnostic_persistence_split_095_single_sample,Eagle_assembly_Benny,144.79166666666666,0.0,9.0,105.0,1.6833333333333333,7.0,9.0,16.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,7.0,9.0,16.0,19.0,20.0,20.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
diagnostic_persistence_split_095_single_sample,Eagle_assembly_Ian,144.79166666666666,441.0,2106.0,2408.0,26.758333333333333,6.0,8.0,15.0,15.0,15.0,15.0,13.0,14.0,15.0,15.0,16.0,17.0,18.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,6.0,8.0,15.0,15.0,15.0,10.0,11.0,7.0,7.0,15.0,16.0,17.0,15.0,19.0,20.0,14.0,20.0,19.0,15.0,20.0,18.0,2
diagnostic_persistence_split_095_single_sample,Fox_education_Henrietta,144.79166666666666,0.0,10.0,110.0,1.6916666666666667,6.0,15.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,6.0,15.0,19.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
