horizon,level,method,n_seeds,coverage_mean,coverage_std,coverage_min,coverage_max,absolute_coverage_deviation_mean,absolute_coverage_deviation_std,absolute_coverage_deviation_min,absolute_coverage_deviation_max,mpiw_mean,mpiw_std,mpiw_min,mpiw_max,winkler_mean,winkler_std,winkler_min,winkler_max,mae_mean,mae_std,mae_min,mae_max,rmse_mean,rmse_std,rmse_min,rmse_max
3,0.9,cqr,5,0.868320323793004,0.00243509806725911,0.864989881468633,0.87126337091645,0.0316796762069963,0.00243509806725911,0.0287366290835502,0.0350101185313675,104.97434493629,0.765771919483524,103.873590624718,105.995541625987,172.017972160426,1.34722327997137,170.219450411809,173.270635870691,26.1901349789021,0.147190404672078,25.9860700515864,26.3213575814522,54.4392157271935,0.235851685162339,54.1470666362546,54.6818666306443
3,0.9,dscp,5,0.894125469788956,0.00233209649115271,0.89095114194854,0.895981497542642,0.00587453021104365,0.00233209649115272,0.0040185024573576,0.00904885805145994,124.410903375076,2.00512029092351,120.917774872987,125.907490283095,235.936641039752,4.62780516473083,227.720928185431,238.61392855524,28.2404266894441,0.713900310910386,26.9680414888871,28.6318140226245,53.7527733429183,0.922480984701324,52.1160267317743,54.3540484162341
3,0.9,quantile_uncalibrated,5,0.813813240821047,0.00204153137592892,0.811159294593813,0.81673894189072,0.0861867591789535,0.00204153137592892,0.0832610581092802,0.0888407054061868,98.374743784152,0.853539895685246,97.462273574227,99.3671614291526,174.54530002179,1.44037911913412,172.656079725254,176.113983787159,26.1901349789021,0.147190404672078,25.9860700515864,26.3213575814522,54.4392157271935,0.235851685162339,54.1470666362546,54.6818666306443
3,0.9,recentred_enbpi_static,5,0.907343162763805,0.00305661826236682,0.903266840127204,0.910118531367447,0.00734316276380454,0.00305661826236685,0.00326684012720435,0.0101185313674472,157.160747668457,3.69897345726535,152.765102661133,161.324833679199,273.298808107544,1.02204786316587,271.760099021871,274.28716040807,32.1469635161723,0.112709095927534,32.019327356259,32.3093865258745,56.1929894966906,0.176071265672835,55.9983295661869,56.3987188873856
3,0.9,recentred_enbpi_updated,5,0.906458514021394,0.00139018157294692,0.905001445504481,0.908557386527898,0.00645851402139342,0.0013901815729469,0.00500144550448101,0.0085573865278981,131.873349939352,0.212059184454992,131.618695699393,132.185688358456,196.598295412611,0.564819248306693,195.754083909454,197.139508583261,32.1469635161723,0.112709095927534,32.019327356259,32.3093865258745,56.1929894966906,0.176071265672835,55.9983295661869,56.3987188873856
3,0.95,cqr,5,0.952223185891876,0.00102592128348603,0.951315409077768,0.953772766695577,0.0022231858918763,0.00102592128348607,0.00131540907776817,0.0037727666955768,139.036248395394,1.06601443775611,137.879314365637,140.542866945313,217.214820102465,0.621543030760983,216.539857755247,217.779632897967,26.1901349789021,0.147190404672078,25.9860700515864,26.3213575814522,54.4392157271935,0.235851685162339,54.1470666362546,54.6818666306443
3,0.95,dscp,5,0.94710610002891,0.00156376596209704,0.945099739809193,0.949233882625036,0.00289389997108984,0.00156376596209707,0.0007661173749637,0.00490026019080658,182.613718219326,3.88611655353536,175.962092245561,185.204682159485,316.869388132007,5.8770367672731,306.398898522269,320.241254535315,28.2404266894441,0.713900310910386,26.9680414888871,28.6318140226245,53.7527733429183,0.922480984701324,52.1160267317743,54.3540484162341
3,0.95,quantile_uncalibrated,5,0.869366869037294,0.00191599969523346,0.86652211621856,0.871783752529633,0.0806331309627059,0.00191599969523346,0.0782162474703672,0.0834778837814397,122.947103857069,1.15629273400095,121.330767718615,124.554111421378,223.242531428041,0.799760469916506,222.189614915263,224.423105791932,26.1901349789021,0.147190404672078,25.9860700515864,26.3213575814522,54.4392157271935,0.235851685162339,54.1470666362546,54.6818666306443
3,0.95,recentred_enbpi_static,5,0.949887250650477,0.00179459250337926,0.947354726799653,0.951662330153223,0.00140792136455621,0.000871004915020614,0.000448106389129732,0.00264527320034691,222.147177746582,5.343149344099,215.874216308594,228.875303466797,367.622001166315,1.5223187559168,365.264059184995,368.957336788343,32.1469635161723,0.112709095927534,32.019327356259,32.3093865258745,56.1929894966906,0.176071265672835,55.9983295661869,56.3987188873856
3,0.95,recentred_enbpi_updated,5,0.952477594680544,0.000593678386823718,0.951662330153223,0.953310205261636,0.00247759468054352,0.000593678386823686,0.00166233015322348,0.0033102052616363,172.834314700636,0.481871432235334,172.382282965424,173.625451325643,245.719574032235,0.712702941189733,244.771843483492,246.449075879098,32.1469635161723,0.112709095927534,32.019327356259,32.3093865258745,56.1929894966906,0.176071265672835,55.9983295661869,56.3987188873856
