horizon,level,method,channel,n_seeds,episodes_mean,episodes_std,episodes_min,episodes_max,background_episodes_per_asset_day_mean,background_episodes_per_asset_day_std,background_episodes_per_asset_day_min,background_episodes_per_asset_day_max,time_in_alert_fraction_mean,time_in_alert_fraction_std,time_in_alert_fraction_min,time_in_alert_fraction_max
6,0.95,dscp,combined,5,727.8,8.84307638777366,719,742,0.504978317432784,0.00613569914156021,0.49887250650477,0.514830875975716,0.0533911535125759,0.00124722830960954,0.0515466897947384,0.0545533391153513
6,0.95,dscp,numerical_only,5,727.8,8.84307638777366,719,742,0.504978317432784,0.00613569914156021,0.49887250650477,0.514830875975716,0.0533911535125759,0.00124722830960954,0.0515466897947384,0.0545533391153513
6,0.95,quantile_uncalibrated,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
6,0.95,quantile_uncalibrated,combined,5,1489.8,36.7178430739062,1446,1536,1.03219399538106,0.0254396141389651,1.00184757505774,1.06420323325635,0.132061200923788,0.00183837290488346,0.130802540415704,0.135306004618938
6,0.95,quantile_uncalibrated,numerical_only,5,1489.8,36.7178430739062,1446,1536,1.03219399538106,0.0254396141389651,1.00184757505774,1.06420323325635,0.132061200923788,0.00183837290488346,0.130802540415704,0.135306004618938
6,0.95,recentred_enbpi_static,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
6,0.95,recentred_enbpi_static,combined,5,638.8,21.3354165649513,624,676,0.442586605080831,0.0147820438094351,0.432332563510393,0.468360277136259,0.0494630484988453,0.00203174609032255,0.0484122401847575,0.0530889145496536
6,0.95,recentred_enbpi_static,numerical_only,5,638.8,21.3354165649513,624,676,0.442586605080831,0.0147820438094351,0.432332563510393,0.468360277136259,0.0494630484988453,0.00203174609032255,0.0484122401847575,0.0530889145496536
6,0.95,recentred_enbpi_updated,availability_only,5,0,0,0,0,0,0,0,0,0,0,0,0
6,0.95,recentred_enbpi_updated,combined,5,601,9.64365076099295,584,608,0.416397228637413,0.00668151322932538,0.404618937644342,0.421247113163972,0.0500866050808314,0.00125817706884186,0.048729792147806,0.0519919168591224
6,0.95,recentred_enbpi_updated,numerical_only,5,601,9.64365076099295,584,608,0.416397228637413,0.00668151322932538,0.404618937644342,0.421247113163972,0.0500866050808314,0.00125817706884186,0.048729792147806,0.0519919168591224
