dataset,horizon,level,method,native_n,common_n,native_coverage,common_coverage,coverage_support_delta,available,unavailable,below_fraction,above_fraction,cal_own_prediction_bias,test_own_prediction_bias,cal_absolute_error_q95,test_absolute_error_q95,mpiw,winkler,score_convention,score_pool,units
pleia_energy,6,0.95,cqr,9907,9902,0.7780357323104875,0.7779236517875177,0.0001120805229698485,9907,0,0.037549207630968,0.18441506005854447,0.0013947714463961628,-0.05001445137609858,0.0614256998794839,0.5179021280257171,0.3255152402874862,1.993987995021242,asymmetric native tails,fixed historical calibration,kWh per interval
pleia_energy,6,0.95,recentred_enbpi_static,9907,9902,0.31412132835368933,0.31397697434861643,0.00014435400507289975,9907,0,0.5115574846068437,0.17432118703946706,0.060683271430014125,-0.003724449242454831,0.142510425,0.5018041419999997,0.09915520250797272,3.990151933327719,native MAPIE OOB calibration score,fixed historical calibration,kWh per interval
pleia_energy,6,0.95,recentred_enbpi_updated,9907,9902,0.8090239224790552,0.8090284790951323,-4.556616077122655e-06,9907,0,0.07358433430907439,0.11739174321187039,0.060683271430014125,-0.003724449242454831,0.142510425,0.5018041419999997,0.3496222159261128,1.7869006017139384,signed own-point online residual with finite sample ranks,historical calibration plus causal available released scores,kWh per interval
pleia_energy,6,0.95,dscp,9902,9902,0.7378307412643911,0.7378307412643911,0.0,9902,0,0.08937588365986669,0.17279337507574227,0.011821916059711649,-0.03764079798857953,0.10498194694519036,0.5314828336238853,0.26622855518072663,2.3617200849573647,frozen cluster/step signed y-minus-matched-XGBoost prediction; linear quantiles,joint-origin calibration,kWh per interval
pleia,1,0.9,quantile_uncalibrated,9907,9902,0.14060765115574847,0.14067865077762068,-7.099962187220865e-05,9907,0,0.002119713334006258,0.8572726355102452,-0.38532262693632174,-3.147922507948812,1.7625911919773105,5.780435757892179,1.9267205509873726,46.98098255533534,none: uncalibrated raw quantiles,fixed historical calibration,degrees Celsius
pleia,1,0.9,cqr,9907,9902,0.25527404865246794,0.2554029488992123,-0.00012890024674433453,9907,0,0.002523468254769355,0.7422024830927627,-0.38532262693632174,-3.147922507948812,1.7625911919773105,5.780435757892179,2.7241182490637854,34.59571001451225,asymmetric native tails,fixed historical calibration,degrees Celsius
pleia,1,0.9,recentred_enbpi_static,9907,9902,0.06631674573533865,0.06635023227630782,-3.3486540969171474e-05,9907,0,0.002523468254769355,0.931159786009892,-0.5693874625479508,-3.145970132936308,1.9553019999999997,5.826679000000002,1.300728607177735,51.819904625575816,native MAPIE OOB calibration score,fixed historical calibration,degrees Celsius
pleia,1,0.9,recentred_enbpi_updated,9907,9902,0.7549207630968002,0.7547970107049081,0.00012375239189210685,9907,0,0.005854446351064904,0.23922479055213486,-0.5693874625479508,-3.145970132936308,1.9553019999999997,5.826679000000002,4.244990763500555,8.061452756031091,signed own-point online residual with finite sample ranks,historical calibration plus causal available released scores,degrees Celsius
pleia,1,0.9,dscp,9902,9902,0.39860634215310037,0.39860634215310037,0.0,9902,0,0.018885073722480307,0.5825085841244193,-0.3196365608031659,-2.236719567759835,1.3439360809326162,4.672854118347165,1.8244002410489564,19.472121903591496,frozen cluster/step signed y-minus-matched-XGBoost prediction; linear quantiles,joint-origin calibration,degrees Celsius
pleia,1,0.95,quantile_uncalibrated,9907,9902,0.21449480165539517,0.21460311048273076,-0.00010830882733559033,9907,0,0.0022206520641970323,0.7832845462804078,-0.38532262693632174,-3.147922507948812,1.7625911919773105,5.780435757892179,2.508475138853692,74.51866704809585,none: uncalibrated raw quantiles,fixed historical calibration,degrees Celsius
pleia,1,0.95,cqr,9907,9902,0.31190067628949225,0.3120581700666532,-0.00015749377716095525,9907,0,0.001514080952861613,0.6865852427576461,-0.38532262693632174,-3.147922507948812,1.7625911919773105,5.780435757892179,3.2524048703154715,55.44593002455783,asymmetric native tails,fixed historical calibration,degrees Celsius
pleia,1,0.95,recentred_enbpi_static,9907,9902,0.08791763399616433,0.08796202787315693,-4.439387699260722e-05,9907,0,0.0013122034924800646,0.9107701625113556,-0.5693874625479508,-3.145970132936308,1.9553019999999997,5.826679000000002,1.6944327354431152,97.26757235506328,native MAPIE OOB calibration score,fixed historical calibration,degrees Celsius
pleia,1,0.95,recentred_enbpi_updated,9907,9902,0.8526294539214697,0.8525550393859826,7.441453548706622e-05,9907,0,0.0037347330170586454,0.1436358130614717,-0.5693874625479508,-3.145970132936308,1.9553019999999997,5.826679000000002,4.8557688309276275,8.504309701019478,signed own-point online residual with finite sample ranks,historical calibration plus causal available released scores,degrees Celsius
pleia,1,0.95,dscp,9902,9902,0.46000807917592407,0.46000807917592407,0.0,9902,0,0.012118763886083619,0.5278731569379923,-0.3196365608031659,-2.236719567759835,1.3439360809326162,4.672854118347165,2.2396618692486276,31.412197717663933,frozen cluster/step signed y-minus-matched-XGBoost prediction; linear quantiles,joint-origin calibration,degrees Celsius
pleia,3,0.9,quantile_uncalibrated,9907,9902,0.06369233875037852,0.063623510401939,6.882834843952024e-05,9907,0,0.0008075098415261935,0.9355001514080953,-0.763657636338677,-4.028930832088742,2.8160399664325193,6.942060943592665,2.2103959244784672,58.23539330740172,none: uncalibrated raw quantiles,fixed historical calibration,degrees Celsius
pleia,3,0.9,cqr,9907,9902,0.26970828706974864,0.26964249646536054,6.579060438810513e-05,9907,0,0.001009387301907742,0.7292823256283436,-0.763657636338677,-4.028930832088742,2.8160399664325193,6.942060943592665,3.7696604833843126,33.30630612817235,asymmetric native tails,fixed historical calibration,degrees Celsius
pleia,3,0.9,recentred_enbpi_static,9907,9902,0.03845765620268497,0.03847707533831549,-1.941913563052039e-05,9907,0,0.0009084485717169678,0.9606338952255981,-0.9827164119547658,-4.375271868577773,3.094346999999999,7.283979000000002,1.9209087371826177,70.6938096382308,native MAPIE OOB calibration score,fixed historical calibration,degrees Celsius
pleia,3,0.9,recentred_enbpi_updated,9907,9902,0.754113253255274,0.7539890931125025,0.00012416014277150111,9907,0,0.0026244069849601292,0.24326233975976583,-0.9827164119547658,-4.375271868577773,3.094346999999999,7.283979000000002,5.7703493694357535,9.743329926617546,signed own-point online residual with finite sample ranks,historical calibration plus causal available released scores,degrees Celsius
pleia,3,0.9,dscp,9902,9902,0.3716420925065643,0.3716420925065643,0.0,9902,0,0.013633609371844073,0.6147242981215916,-0.680906678866742,-3.509421507215721,2.35427406311035,6.214647750854492,2.713565199410306,23.907124737069456,frozen cluster/step signed y-minus-matched-XGBoost prediction; linear quantiles,joint-origin calibration,degrees Celsius
pleia,3,0.95,quantile_uncalibrated,9907,9902,0.13717573432926214,0.1370430216117956,0.00013271271746653768,9907,0,0.0,0.8628242656707379,-0.763657636338677,-4.028930832088742,2.8160399664325193,6.942060943592665,3.6900291085820025,91.22634856339727,none: uncalibrated raw quantiles,fixed historical calibration,degrees Celsius
pleia,3,0.95,cqr,9907,9902,0.33602503280508733,0.33599272874166836,3.230406341897529e-05,9907,0,0.0,0.6639749671949127,-0.763657636338677,-4.028930832088742,2.8160399664325193,6.942060943592665,4.9368823082214845,52.6470101597268,asymmetric native tails,fixed historical calibration,degrees Celsius
pleia,3,0.95,recentred_enbpi_static,9907,9902,0.05652568890683355,0.056554231468390226,-2.8542561556675616e-05,9907,0,0.0006056323811446452,0.9428686787120218,-0.9827164119547658,-4.375271868577773,3.094346999999999,7.283979000000002,2.4557863235473647,131.15774330767937,native MAPIE OOB calibration score,fixed historical calibration,degrees Celsius
pleia,3,0.95,recentred_enbpi_updated,9907,9902,0.8544463510649036,0.8543728539688952,7.349709600845689e-05,9907,0,0.0018168971434339356,0.14373675179166245,-0.9827164119547658,-4.375271868577773,3.094346999999999,7.283979000000002,6.499231554456446,10.22325872716261,signed own-point online residual with finite sample ranks,historical calibration plus causal available released scores,degrees Celsius
pleia,3,0.95,dscp,9902,9902,0.46132094526358314,0.46132094526358314,0.0,9902,0,0.007473237729751565,0.5312058170066654,-0.680906678866742,-3.509421507215721,2.35427406311035,6.214647750854492,3.4682872320593896,35.83622244754964,frozen cluster/step signed y-minus-matched-XGBoost prediction; linear quantiles,joint-origin calibration,degrees Celsius
pleia,6,0.9,quantile_uncalibrated,9907,9902,0.02695064096093671,0.026964249646536053,-1.3608685599342946e-05,9907,0,0.0002018774603815484,0.9728474815786817,-1.1124782719021185,-4.809570358056448,3.6411377986258824,7.696343553522122,2.353194681058843,74.90147640714757,none: uncalibrated raw quantiles,fixed historical calibration,degrees Celsius
pleia,6,0.9,cqr,9907,9902,0.30130210961946097,0.30094930317107654,0.000352806448384424,9907,0,0.0003028161905723226,0.6983950741899667,-1.1124782719021185,-4.809570358056448,3.6411377986258824,7.696343553522122,4.769335686236521,33.9566865781622,asymmetric native tails,fixed historical calibration,degrees Celsius
