dataset,recalibration_strategy,block_start,block_index,n,empirical_coverage,coverage_deviation,mean_interval_width,post_shift
rico,periodic,1461,-53,60,1.0,0.050000000000000044,0.5315186641790166,False
rico,periodic,1521,-52,60,1.0,0.050000000000000044,0.5302905067433468,False
rico,periodic,1581,-51,60,1.0,0.050000000000000044,0.5295855884585468,False
rico,periodic,1641,-50,60,1.0,0.050000000000000044,0.5290652329010621,False
rico,periodic,1701,-49,60,1.0,0.050000000000000044,0.528383515239564,False
rico,periodic,1761,-48,60,0.9833333333333333,0.033333333333333326,0.5272424174581892,False
rico,periodic,1821,-47,60,1.0,0.050000000000000044,0.5261913723083665,False
rico,periodic,1881,-46,60,1.0,0.050000000000000044,0.5254604970376313,False
rico,periodic,1941,-45,60,0.95,0.0,0.5244039497991583,False
rico,periodic,2001,-44,60,0.8,0.1499999999999999,0.5266608639222928,False
rico,periodic,2061,-43,60,1.0,0.050000000000000044,0.5270357580579732,False
rico,periodic,2121,-42,60,1.0,0.050000000000000044,0.526363357573546,False
rico,periodic,2181,-41,60,1.0,0.050000000000000044,0.5258757780359101,False
rico,periodic,2241,-40,60,1.0,0.050000000000000044,0.5257816223583064,False
rico,periodic,2301,-39,60,1.0,0.050000000000000044,0.5252049363741967,False
rico,periodic,2361,-38,60,1.0,0.050000000000000044,0.5240882455334567,False
rico,periodic,2421,-37,60,0.6,0.35,0.5259795338515296,False
rico,periodic,2481,-36,60,0.8333333333333334,0.11666666666666659,0.5316244478154879,False
rico,periodic,2541,-35,60,0.7666666666666667,0.18333333333333324,0.5363365110558362,False
rico,periodic,2601,-34,60,0.85,0.09999999999999998,0.5390347354287154,False
rico,periodic,2661,-33,60,0.75,0.19999999999999996,0.5416333578562162,False
rico,periodic,2721,-32,60,1.0,0.050000000000000044,0.5429333919966166,False
rico,periodic,2781,-31,60,1.0,0.050000000000000044,0.5422085973751555,False
rico,periodic,2841,-30,60,0.8166666666666667,0.1333333333333333,0.5416610037794337,False
rico,periodic,2901,-29,60,0.45,0.49999999999999994,0.5533919095042584,False
rico,periodic,2961,-28,60,0.5,0.44999999999999996,0.5683103985087047,False
rico,periodic,3021,-27,60,0.9166666666666666,0.033333333333333326,0.5741405490200833,False
rico,periodic,3081,-26,60,0.4,0.5499999999999999,0.576420339811317,False
rico,periodic,3141,-25,60,0.5833333333333334,0.3666666666666666,0.5878727963011613,False
rico,periodic,3201,-24,60,1.0,0.050000000000000044,0.5924881901737213,False
rico,periodic,3261,-23,60,1.0,0.050000000000000044,0.5919481279146548,False
rico,periodic,3321,-22,60,1.0,0.050000000000000044,0.590702409564184,False
rico,periodic,3381,-21,60,1.0,0.050000000000000044,0.5882100864282092,False
rico,periodic,3441,-20,60,1.0,0.050000000000000044,0.5867099909286954,False
rico,periodic,3501,-19,60,0.9,0.04999999999999993,0.5867231921150269,False
rico,periodic,3561,-18,60,1.0,0.050000000000000044,0.5870383094078069,False
rico,periodic,3621,-17,60,1.0,0.050000000000000044,0.5857650714141227,False
rico,periodic,3681,-16,60,1.0,0.050000000000000044,0.5846430096950194,False
rico,periodic,3741,-15,60,1.0,0.050000000000000044,0.5835969983230211,False
rico,periodic,3801,-14,60,1.0,0.050000000000000044,0.5825090624051906,False
rico,periodic,3861,-13,60,1.0,0.050000000000000044,0.5818111105861606,False
rico,periodic,3921,-12,60,0.9666666666666667,0.01666666666666672,0.5810601542977151,False
rico,periodic,3981,-11,60,0.8833333333333333,0.06666666666666665,0.5819116218958056,False
rico,periodic,4041,-10,60,1.0,0.050000000000000044,0.5814042506354784,False
rico,periodic,4101,-9,60,1.0,0.050000000000000044,0.5808609808743707,False
rico,periodic,4161,-8,60,0.9,0.04999999999999993,0.5799253615832403,False
rico,periodic,4221,-7,60,1.0,0.050000000000000044,0.5805945743208757,False
rico,periodic,4281,-6,60,1.0,0.050000000000000044,0.5798062455744109,False
rico,periodic,4341,-5,60,1.0,0.050000000000000044,0.5788805914917295,False
rico,periodic,4401,-4,60,1.0,0.050000000000000044,0.5775815967153034,False
rico,periodic,4461,-3,60,1.0,0.050000000000000044,0.5765113002371371,False
rico,periodic,4521,-2,60,1.0,0.050000000000000044,0.5759561720287231,False
rico,periodic,4581,-1,60,1.0,0.050000000000000044,0.5750517535481686,False
rico,periodic,4641,0,60,1.0,0.050000000000000044,0.5736640505696459,True
rico,periodic,4701,1,60,1.0,0.050000000000000044,0.5729315607364766,True
rico,periodic,4761,2,60,1.0,0.050000000000000044,0.5718251556767384,True
rico,periodic,4821,3,60,1.0,0.050000000000000044,0.5707891422949901,True
rico,periodic,4881,4,60,1.0,0.050000000000000044,0.5696883221202462,True
rico,periodic,4941,5,60,1.0,0.050000000000000044,0.5671885219985555,True
rico,periodic,5001,6,60,1.0,0.050000000000000044,0.5664114258543187,True
rico,periodic,5061,7,60,0.8833333333333333,0.06666666666666665,0.5658744876605406,True
rico,periodic,5121,8,60,0.9666666666666667,0.01666666666666672,0.5670434464240698,True
rico,periodic,5181,9,60,1.0,0.050000000000000044,0.5661393555438631,True
rico,periodic,5241,10,60,1.0,0.050000000000000044,0.5646913677348145,True
rico,periodic,5301,11,60,0.55,0.3999999999999999,0.5664474406292029,True
rico,periodic,5361,12,60,1.0,0.050000000000000044,0.571058884795028,True
rico,periodic,5421,13,60,1.0,0.050000000000000044,0.5698731566510474,True
rico,periodic,5481,14,60,0.7333333333333333,0.21666666666666667,0.5692760740114488,True
rico,periodic,5541,15,60,0.7666666666666667,0.18333333333333324,0.5784095781833883,True
rico,periodic,5601,16,60,0.9833333333333333,0.033333333333333326,0.5793583214050894,True
rico,periodic,5661,17,60,0.5166666666666667,0.43333333333333324,0.5826378914641336,True
rico,periodic,5721,18,60,0.5166666666666667,0.43333333333333324,0.5882740657228636,True
