dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,point_model,conformal_method,nominal_coverage,empirical_coverage,coverage_deviation,mean_interval_width,median_interval_width,winkler_score,n_valid,normalized_mean_interval_width,n_seeds,n_crossed_repaired,coverage_std,width_std,dscp_n_clusters,dscp_silhouette
rico,B.RTD3,temperature,degC,0 days 00:01:00,60,60.0,HistGBR-quantile,cqr,0.95,0.7525817555938038,0.19741824440619615,4.065317928113155,4.2256140926616865,18.4514108624864,6972,0.8764790299293191,5,523,0.05258539405781816,0.25318718446421706,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,60,60.0,HistGBR-quantile,quantile_uncalibrated,0.95,0.6055651176133103,0.3444348823866896,2.874214685851164,2.753845628660745,20.86766550724007,6972,0.6196782008714059,1,0,,,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,60,60.0,XGBRegressor,recentred_enbpi_static,0.9,0.7030981067125646,0.19690189328743546,1.6020164489746094,1.6020164489746094,7.02037164061082,6972,0.345393361099259,3,0,0.005554230534120342,0.022246788540439967,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,60,60.0,XGBRegressor,recentred_enbpi_static,0.95,0.789443488238669,0.160556511761331,2.2565427568223733,2.2565427568223733,10.068013445742992,6972,0.4865086670876125,3,0,0.010165281440020556,0.06665739677156542,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,60,60.0,XGBRegressor,recentred_enbpi_updated,0.9,0.8050774526678142,0.09492254733218586,2.353191267824941,2.3906661987304716,5.688649498450587,6972,0.5073460024856242,3,0,0.00690291830418538,0.060973192330527476,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,60,60.0,XGBRegressor,recentred_enbpi_updated,0.95,0.8719162363740677,0.07808376362593228,3.184484720408576,3.5100044250488267,6.697265165804368,6972,0.6865721520245044,3,0,0.0023924260859048956,0.12057367924572489,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,HistGBR-quantile,dscp,0.9,0.8390705679862306,0.060929432013769436,0.4409344306721395,0.4512499067318565,0.819615183762017,6972,0.10542883664514954,1,0,,,2.0,0.559065239842466
rico,B.RTD3,temperature,degC,0 days 00:01:00,15,15.0,HistGBR-quantile,dscp,0.9,0.8317555938037866,0.06824440619621341,0.9577456044789079,1.0023747441126574,1.93137851516424,6972,0.2256421871739844,1,0,,,2.0,0.559065239842466
rico,B.RTD3,temperature,degC,0 days 00:01:00,30,30.0,HistGBR-quantile,dscp,0.9,0.8273092369477911,0.0726907630522089,1.5880404459404411,1.5151925730697684,3.0617323801253007,6972,0.3630136503997285,1,0,,,2.0,0.559065239842466
rico,B.RTD3,temperature,degC,0 days 00:01:00,60,60.0,HistGBR-quantile,dscp,0.9,0.8174125071715433,0.08258749282845668,2.6613031681469757,2.342761073589564,4.92405457730233,6972,0.5737746617637625,1,0,,,2.0,0.559065239842466
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,HistGBR-quantile,dscp,0.95,0.9006024096385542,0.04939759036144575,0.5934498030579889,0.6408014380169575,1.0500968211370314,6972,0.14189575136675794,1,0,,,2.0,0.559065239842466
rico,B.RTD3,temperature,degC,0 days 00:01:00,15,15.0,HistGBR-quantile,dscp,0.95,0.8898450946643718,0.06015490533562817,1.2365989065070873,1.3462540997485846,2.5186013026414606,6972,0.29133924563718694,1,0,,,2.0,0.559065239842466
rico,B.RTD3,temperature,degC,0 days 00:01:00,30,30.0,HistGBR-quantile,dscp,0.95,0.8994549627079748,0.0505450372920252,2.010689824212582,2.004787004483031,3.7834370840401257,6972,0.45962799925838455,1,0,,,2.0,0.559065239842466
rico,B.RTD3,temperature,degC,0 days 00:01:00,60,60.0,HistGBR-quantile,dscp,0.95,0.8987378083763626,0.05126219162363732,3.3201998651016367,3.1163600327462255,6.140106033723756,6972,0.7158322198643892,1,0,,,2.0,0.559065239842466
