stage,control_id,rows,ordered_issued_bounds,raw_crossing_rows,finite_issued_bounds
context_12de1cb3d6f52f871993_v34,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v34,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v34,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v35,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v35,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v35,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v35,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v36,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v36,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v36,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v36,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v37,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v37,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v37,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v37,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v38,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v38,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v38,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v38,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v39,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v39,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v39,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v39,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v4,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v4,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v4,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v4,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v40,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v40,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v40,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v40,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v41,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v41,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v41,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v41,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v42,quantile_static,144,144,0,144
context_12de1cb3d6f52f871993_v42,cqr_static,144,144,0,144
context_12de1cb3d6f52f871993_v42,cqr_rolling,144,144,0,144
context_12de1cb3d6f52f871993_v42,persistence_static,144,144,0,144
context_12de1cb3d6f52f871993_v5,quantile_static,144,144,0,144
