unit,archive,bytes,sha256,members,uncompressed_bytes
bdg2_h6_f0_s45_v1,bdg2_h6_f0_s45_v1.zip,51289176,6b4461dfcf915091ad1d5394241941964cbb6aed0f1e752c140e750d065470b5,35,52810372
bdg2_h1_f1_s46_v1,bdg2_h1_f1_s46_v1.zip,42101692,9b24b2fe06aa2f18bd6b0a88602c51302df542140bbb0dbd2cb037d9893e8b87,35,43482000
bdg2_h3_f1_s46_v1,bdg2_h3_f1_s46_v1.zip,42340821,bbb0b9f5e4fbd807884d8de50dc7b2884413ab501a46db57abda2f55b7cf571c,35,43710954
bdg2_h6_f1_s46_v1,bdg2_h6_f1_s46_v1.zip,42061156,59ab084c2b66d1d5caf66d39d2c9695c5642133a638786421bfc1beaf96f5773,35,43002260
bdg2_h1_f0_s46_v1,bdg2_h1_f0_s46_v1.zip,51019611,85b4ff93809616d0aa76ade0b97f77e91a24cf9a7e5216f8952fe7bd66d47756,35,52566106
bdg2_h3_f0_s46_v1,bdg2_h3_f0_s46_v1.zip,51250146,08859dc9b945a06d95b6b42c9defcb44b05c054742d52ce77af2815c7089c539,35,52776321
bdg2_h6_f0_s46_v1,bdg2_h6_f0_s46_v1.zip,51280938,6e77e1134f776ac2f8fcb9655f824fedb5f0503943686e605cc801bf8eb32b40,35,52797236
pleia_h1_f1_s42_v1,pleia_h1_f1_s42_v1.zip,11700254,e01af3c11891fc3717b3d3f39ba557fd152887fe4bbd25d4b472c926357d66c2,35,12367558
pleia_h3_f1_s42_v1,pleia_h3_f1_s42_v1.zip,11723274,b975f8a64f8da5a9e25e251527ac86542f5716dcd8e14940529a58be753b1450,35,12382646
pleia_h6_f1_s42_v1,pleia_h6_f1_s42_v1.zip,11676320,7b60b5ff1fb294017ffe50b88f7bb4ea3afee326b72d2a9a753afee27d405cc9,35,12363731
pleia_h1_f1_s43_v1,pleia_h1_f1_s43_v1.zip,11702654,d6e3d0f4adeb736e5fb802079de5de586d660547e7f246428c8460e4bb9dfdb3,35,12373586
pleia_h3_f1_s43_v1,pleia_h3_f1_s43_v1.zip,11733107,6ed9d9572ca43307a3bcd69788ab0eea2ca3cf14c339b16258688314a09945f1,35,12396651
pleia_h6_f1_s43_v1,pleia_h6_f1_s43_v1.zip,11666599,a42aa8e73569b9bd3b620905574444221253ee062bb2850a28f65acb6a2c81c3,35,12355686
pleia_h1_f0_s43_v1,pleia_h1_f0_s43_v1.zip,14210509,c2aaf2252326217ba839a2148450c179c71f082516bf8f5ade5877a98569e017,35,14942960
pleia_h3_f0_s43_v1,pleia_h3_f0_s43_v1.zip,14247925,b5f5f2c4ea5aa9067e313a9e1be1a9d8a4a5b9a189203941e3301e1051e44b64,35,14967063
pleia_h6_f0_s43_v1,pleia_h6_f0_s43_v1.zip,14179630,e22e8d77639a809abdc48bb335550b7513289e5dc0fcad3abc895f1236b369c7,35,14931345
pleia_h1_f1_s44_v1,pleia_h1_f1_s44_v1.zip,11684920,f6c467e54a91469892c1d66d4286858bfa8d1c50a1a4169b1ee436441dfcf4c9,35,12356412
pleia_h3_f1_s44_v1,pleia_h3_f1_s44_v1.zip,11737817,4f67e80686745a8be2bb49ffaa223c16b8586558b15ce643a1c0c0df6f8aa411,35,12397217
pleia_h6_f1_s44_v1,pleia_h6_f1_s44_v1.zip,11661102,fbb883181a171f209f7a51c1eb331eb949499a5ad2b0f8d59be04e3b11a9c68f,35,12348628
pleia_h1_f0_s44_v1,pleia_h1_f0_s44_v1.zip,14206372,54e65aa7640548d701ed18e825882bbcc09bf3675a8cc2284ab94d6ef2e81365,35,14938578
pleia_h3_f0_s44_v1,pleia_h3_f0_s44_v1.zip,14251847,9b57752ae9c530fab355ada48e40215b7abf091b6308d2762a91b5fa4193b99d,35,14971899
pleia_h6_f0_s44_v1,pleia_h6_f0_s44_v1.zip,14184097,dd6b8a2f3188815f0c35a81508e967747e90f60f18a3f29d86adb0f32e8017e8,35,14934528
pleia_h1_f1_s45_v1,pleia_h1_f1_s45_v1.zip,11705994,09e3dba1ad506a53d153b8cc7ca82c7fc94f74d140b461191d2970f5b8088629,35,12377229
pleia_h3_f1_s45_v1,pleia_h3_f1_s45_v1.zip,11728239,2cd4cf27cb91fc3debaee1adbb6a953ea382ad07309220d45b9f0eb939ceabda,35,12392908
pleia_h6_f1_s45_v1,pleia_h6_f1_s45_v1.zip,11669647,7cf1d4f62b79d2e153c05db6225d9b702a6d4d7373c9daf50688ea8c3ecf3f22,35,12359334
pleia_h1_f0_s45_v1,pleia_h1_f0_s45_v1.zip,14201304,f36d30c8ac84703003fa54927ec4d4e4fde492ccbb493c875d8e556fcd89ea57,35,14933390
pleia_h3_f0_s45_v1,pleia_h3_f0_s45_v1.zip,14239208,b6afcce8ef78eac56f763f740cd9b358ca03160843b9940b53456a36a3bb242b,35,14964764
pleia_h6_f0_s45_v1,pleia_h6_f0_s45_v1.zip,14180301,f0ff9d31b2f0f5f8a023a59c5f599aedd37d13e81c6b7843bc97f62fde82af5a,35,14929890
pleia_h1_f1_s46_v1,pleia_h1_f1_s46_v1.zip,11696229,b393c6460d2edfe36a73e5224060955c48b7b600a8b1e6e1eaaecb7cb132f4bd,35,12363646
pleia_h3_f1_s46_v1,pleia_h3_f1_s46_v1.zip,11730908,1dbe739e6f891fb5e78b81ed931d0b36fef3ce32c3c13f039cd1404253e2bc5a,35,12390969
pleia_h6_f1_s46_v1,pleia_h6_f1_s46_v1.zip,11663085,51b5e7c2436743aa92245662af7e98fa64e312b0e36e2ff1a86c7913be05ec13,35,12351339
pleia_h1_f0_s46_v1,pleia_h1_f0_s46_v1.zip,14215554,38b2a9b92d8ee7c2ab89337d3ad9be16c9adef293868ca4e4f9fe00f0bc2e5d2,35,14944238
pleia_h3_f0_s46_v1,pleia_h3_f0_s46_v1.zip,14251431,aa87861c12c0c8180fa70a58173dbe6bee7c2ca97c95d9fd3cf7065afc0618fc,35,14971281
pleia_h6_f0_s46_v1,pleia_h6_f0_s46_v1.zip,14173623,bc0f19379d48d72993a41328c89a01fe72b40534a432ced9de1dd0521816d797,35,14933637
