dataset,horizon,level,method,distribution,n,mean,q1,q5,q25,q50,q75,q95,q99
pleia,1,0.95,recentred_enbpi_static,own_calibration_signed_error,4953,0.5693874625479508,-0.7409068400000004,-0.31724160000000123,0.09822400000000187,0.42095799999999883,0.8969370000000012,1.9548369999999988,2.926679
pleia,1,0.95,recentred_enbpi_static,own_test_signed_error,9907,3.145970132936308,-0.07005330000000227,0.4894200999999999,1.878089000000001,3.1266789999999993,4.410406,5.826679000000002,6.498248
pleia,1,0.95,recentred_enbpi_static,native_calibration_score,4540,0.0009733624115214691,-1.201202375411988,-0.650795049667359,-0.22278065681457448,0.0001191139221194959,0.24507136344909597,0.6484430217742928,0.9550652923583983
pleia,3,0.9,cqr,own_calibration_signed_error,4952,0.763657636338677,-1.1463338073387477,-0.6260407212208918,0.02870672807389063,0.5464150370385052,1.3564704903131277,2.7887777122328496,3.983701003468216
pleia,3,0.9,cqr,own_test_signed_error,9907,4.028930832088742,-0.16840176991503128,0.6866064004113415,2.649517306375717,4.157003640214182,5.491685281329984,6.942060943592665,7.7593586739531695
pleia,3,0.9,cqr,native_calibration_score,14856,-0.4740836388540507,-3.908847241775494,-2.7660114984920146,-0.982681997788748,-0.3718973065022446,0.18514098773249543,1.3485077230260885,2.3827445402873515
pleia,3,0.95,cqr,own_calibration_signed_error,4952,0.763657636338677,-1.1463338073387477,-0.6260407212208918,0.02870672807389063,0.5464150370385052,1.3564704903131277,2.7887777122328496,3.983701003468216
pleia,3,0.95,cqr,own_test_signed_error,9907,4.028930832088742,-0.16840176991503128,0.6866064004113415,2.649517306375717,4.157003640214182,5.491685281329984,6.942060943592665,7.7593586739531695
pleia,3,0.95,cqr,native_calibration_score,14856,-0.8365375235935062,-4.71589972364101,-3.563561837606205,-1.262090310869211,-0.6024594554482654,-0.1081007402521097,0.7211462654929655,1.6958443086133634
pleia,3,0.9,recentred_enbpi_static,own_calibration_signed_error,4952,0.9827164119547658,-1.045484110000002,-0.5105191000000001,0.14198999999999984,0.7521969999999989,1.7300890000000004,3.0940433999999994,4.355571109999999
pleia,3,0.9,recentred_enbpi_static,own_test_signed_error,9907,4.375271868577773,0.11236877999999983,1.0957806000000005,2.9477530000000023,4.452252000000001,5.888041000000001,7.283979000000002,7.983978999999998
pleia,3,0.9,recentred_enbpi_static,native_calibration_score,4528,0.005127521229576645,-1.7184399553934733,-0.9592193412780771,-0.32052222887675086,0.01841840744018519,0.35682913462320975,0.9534727478027339,1.3801410846710156
