dataset,horizon,outer_fold,model_seed,physical_minutes,target_units,source_run,source_hash,protocol_hash,n_fit,n_calibration,n_test,left_model,right_model,interpretation,mae_difference,rmse_difference,coverage90_difference,signed_coverage_deviation90_difference,absolute_coverage_deviation90_difference,mpiw90_difference,winkler90_difference,coverage95_difference,signed_coverage_deviation95_difference,absolute_coverage_deviation95_difference,mpiw95_difference,winkler95_difference,tuning_seconds_difference,final_fit_seconds_difference,calibration_seconds_difference,inference_seconds_difference,model_phase_seconds_difference,process_cpu_seconds_difference,inference_rows_per_second_difference,model_phase_seconds_ratio,model_phase_seconds_ratio_status,process_cpu_seconds_ratio,process_cpu_seconds_ratio_status,inference_rows_per_second_ratio,inference_rows_per_second_ratio_status
rico,60,0,43,60,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f0_s43_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,89e6eaa301e5e0b123943db829657b9330a883f25f73675dce4a9316c23e7b9b,19311,6437,6751,xgboost,persistence,left minus right within identical seed and target support,-0.42678146438587306,-0.7026575842369174,-0.07821063546141305,-0.07821063546141305,0.06099837061176128,-2.9534904479980417,-3.262584556768317,-0.06413864612649978,-0.06413864612649978,0.06413864612649978,-3.914365386962886,-4.017259971789306,3.2599907999974675,0.8324248000280932,0.06786020001163706,0.07547840001643635,4.235754200053634,4.046875,-2502613.91496658,749.9354467756258,ok,260.0,ok,0.03339271245167922,ok
rico,60,0,44,60,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f0_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,be47b44af22e24fa1a28c4289662e0d89e524fb4d4521fe0d996678db7fdde0b,19311,6437,6751,attention_lstm,xgboost,left minus right within identical seed and target support,0.288864023860976,0.19611989764935733,-0.04458598726114649,-0.04458598726114649,0.04458598726114649,0.479001235961916,0.01697797118390465,0.008295067397422584,0.008295067397422584,-0.008295067397422584,0.5838325500488262,-0.8514915095631501,53.57087229998433,14.797795299993595,0.13741429999936372,0.1338910000049509,68.63997289998224,68.703125,-51148.07944614599,14.055934353414182,ok,17.782442748091604,ok,0.37952326199258635,ok
rico,60,0,44,60,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f0_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,be47b44af22e24fa1a28c4289662e0d89e524fb4d4521fe0d996678db7fdde0b,19311,6437,6751,attention_lstm,persistence,left minus right within identical seed and target support,-0.18440944636032275,-0.5585650154466777,-0.10931713820174782,-0.10931713820174782,0.09210487335209605,-2.4273677825927673,-3.6385642147050063,-0.03747592949192713,-0.03747592949192713,0.03747592949192713,-3.3002838134765615,-5.458656030541048,57.835241199994925,15.637149699992733,0.20630839999648742,0.21339319998514839,73.8920924999693,72.78125,-2788563.3450668165,14055.07160197115,ok,4659.0,ok,0.011094721565657429,ok
rico,60,0,44,60,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f0_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,be47b44af22e24fa1a28c4289662e0d89e524fb4d4521fe0d996678db7fdde0b,19311,6437,6751,xgboost,persistence,left minus right within identical seed and target support,-0.47327347022129873,-0.754684913096035,-0.06473115094060133,-0.06473115094060133,0.047518886090949564,-2.9063690185546833,-3.655542185888911,-0.04577099688934971,-0.04577099688934971,0.04577099688934971,-3.8841163635253877,-4.607164520977898,4.264368900010595,0.839354399999138,0.0688940999971237,0.07950219998019747,5.252119599987054,4.078125,-2737415.2656206703,999.9386201285993,ok,262.0,ok,0.02923331104240497,ok
rico,60,0,45,60,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f0_s45_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,d6b8bba37de95183b62360d706317177bfba15aba34b647f220cbbe8595bb3e2,19311,6437,6751,attention_lstm,xgboost,left minus right within identical seed and target support,0.09886566349143122,-0.021383488986296717,0.09628203229151244,0.09628203229151244,-0.07284846689379354,0.9778495788574237,-1.41164960006558,0.07465560657680348,0.07465560657680348,-0.05879129017923257,0.5952903747558622,-2.2894415299250737,51.971120700007305,11.546662300010212,0.1349612000049092,0.11602129999664612,63.76876550001907,63.59375,-33779.090246010805,13.454587433488895,ok,15.181184668989546,ok,0.47492503214058507,ok
rico,60,0,45,60,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f0_s45_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,d6b8bba37de95183b62360d706317177bfba15aba34b647f220cbbe8595bb3e2,19311,6437,6751,attention_lstm,persistence,left minus right within identical seed and target support,-0.2158229709784023,-0.5734873453715608,0.003110650274033566,0.003110650274033566,0.003110650274033566,-1.6236076354980389,-3.945378720680883,0.015405125166642053,0.015405125166642053,0.00045919123092885705,-2.8024375915527324,-5.611774049718507,55.689097099995706,12.760530800034758,0.2147636000008788,0.2178260000073351,68.88221750003868,68.0625,-2122601.468358914,10358.293747711152,ok,4357.0,ok,0.014189808629082035,ok
rico,60,0,45,60,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f0_s45_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,d6b8bba37de95183b62360d706317177bfba15aba34b647f220cbbe8595bb3e2,19311,6437,6751,xgboost,persistence,left minus right within identical seed and target support,-0.31468863446983353,-0.552103856385264,-0.09317138201747888,-0.09317138201747888,0.0759591171678271,-2.6014572143554626,-2.5337291206153028,-0.059250481410161426,-0.059250481410161426,0.059250481410161426,-3.3977279663085946,-3.3223325197934335,3.7179763999884017,1.213868500024546,0.07980239999596961,0.10180470001068898,5.113452000019606,4.46875,-2088822.378112903,769.8707819110849,ok,287.0,ok,0.029877996881161727,ok
rico,60,0,46,60,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f0_s46_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,c8a0f7f09c510ab5d3239bbece5a47692acdfb33881d2fa9338f70f7a34d4d65,19311,6437,6751,attention_lstm,xgboost,left minus right within identical seed and target support,0.110108423494371,0.023346455770788088,-0.007406310176270248,-0.007406310176270248,0.007406310176270248,0.12754211425781348,-0.8706878289172,0.07376684935565103,0.07376684935565103,-0.07376684935565103,0.31951904296875,-1.1514336449396056,93.22880069998791,51.4745328000281,0.11182319998624735,0.11727309998241253,144.93242979998467,143.703125,-47437.357195522396,29.76292897077362,ok,33.96415770609319,ok,0.41512359538200927,ok
rico,60,0,46,60,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f0_s46_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,c8a0f7f09c510ab5d3239bbece5a47692acdfb33881d2fa9338f70f7a34d4d65,19311,6437,6751,attention_lstm,persistence,left minus right within identical seed and target support,-0.21067873149991034,-0.5251803523924186,-0.08606132424825952,-0.08606132424825952,0.06884905939860775,-2.3519927978515573,-3.296578172817351,0.00488816471633835,0.00488816471633835,-0.00488816471633835,-2.856035614013671,-4.521756801568497,96.84230600000592,52.734111500001745,0.19079860000056215,0.19766340000205673,149.96487950001028,148.046875,-2338598.6364177573,23388.065441335628,ok,9476.0,ok,0.014192864901596847,ok
rico,60,0,46,60,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f0_s46_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,c8a0f7f09c510ab5d3239bbece5a47692acdfb33881d2fa9338f70f7a34d4d65,19311,6437,6751,xgboost,persistence,left minus right within identical seed and target support,-0.32078715499428134,-0.5485268081632066,-0.07865501407198927,-0.07865501407198927,0.0614427492223375,-2.479534912109371,-2.425890343900151,-0.06887868463931268,-0.06887868463931268,0.06887868463931268,-3.175554656982421,-3.370323156628891,3.613505300018005,1.2595786999736447,0.0789754000143148,0.0803903000196442,5.032449700025609,4.34375,-2291161.2792222346,785.8119563535587,ok,279.0,ok,0.034189492140373624,ok
rico,60,1,42,60,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f1_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,34d425451e5135d492a17e115b44c401310e46fac877c8dc0518c8fb9c6c1491,14444,4867,6437,attention_lstm,xgboost,left minus right within identical seed and target support,0.6196562758880277,0.7577885838214611,-0.06198539692403293,-0.06198539692403293,0.031008233649215455,1.3853096008300776,3.2660200852978862,-0.06617989746776443,-0.06617989746776443,0.06617989746776443,1.2841873168945312,4.637473296763561,56.82447890000185,21.48305160002201,0.11275769997155294,0.1251289000210818,78.5454171000165,77.71875,-60210.34499748889,20.808830255278554,ok,24.242990654205606,ok,0.35521240094907947,ok
rico,60,1,42,60,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f1_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,34d425451e5135d492a17e115b44c401310e46fac877c8dc0518c8fb9c6c1491,14444,4867,6437,attention_lstm,persistence,left minus right within identical seed and target support,0.26413698452719436,0.2410807072535628,0.07099580549945628,0.07099580549945628,-0.07099580549945628,1.8682563781738257,-0.427493911347292,-0.008233649215473093,-0.008233649215473093,0.008233649215473093,0.6840766906738338,0.2363578936245041,60.030234100006055,22.117304700019304,0.16623979998985305,0.191710500017507,82.50548910003272,81.0625,-2703999.0695673632,16178.864160280471,ok,,zero_denominator,0.012118279643523721,ok
rico,60,1,42,60,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f1_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,34d425451e5135d492a17e115b44c401310e46fac877c8dc0518c8fb9c6c1491,14444,4867,6437,xgboost,persistence,left minus right within identical seed and target support,-0.3555192913608334,-0.5167078765678983,0.1329812024234892,0.1329812024234892,-0.10200403914867173,0.48294677734374813,-3.693513996645178,0.05794624825229133,0.05794624825229133,-0.05794624825229133,-0.6001106262206974,-4.401115403139057,3.205755200004205,0.6342530999972951,0.053482100018300116,0.06658159999642521,3.9600720000162255,3.34375,-2643788.7245698743,777.4999344894169,ok,,zero_denominator,0.034115587212454626,ok
rico,60,1,43,60,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f1_s43_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,f608eea4dc5e72256c54e013a2db0fb9d5405cda0c6ccd1dcc8d38b362e790ff,14444,4867,6437,attention_lstm,xgboost,left minus right within identical seed and target support,0.6337529541413869,0.7738513337918991,-0.07084045362746627,-0.07084045362746627,0.07084045362746627,1.4441291809082055,3.357465171013927,-0.018331520894826814,-0.018331520894826814,0.018331520894826814,2.0571884155273423,3.8931307264194377,46.924235599988606,10.248905600019498,0.09115370002109557,0.12534689999301918,57.38964180002222,56.390625,-57746.316040164675,16.362038941660106,ok,17.47945205479452,ok,0.3619915720877886,ok
