dataset,horizon,model,mae,rmse,coverage90,coverage95,mpiw90,mpiw95,winkler90,winkler95,model_phase_seconds,process_cpu_seconds,physical_minutes,aggregation
pleia_energy,6,persistence,0.17772158982568734,2.797229997092632,0.8054263482424765,0.8556927900562118,0.71875,0.921875,2.4106753555662443,3.9703675162948353,0.006414986663245751,0.0062499999999999995,60,equal mean of three outer-fold seed means; overlapping folds; descriptive only
pleia_energy,6,xgboost,0.15307701600648474,2.003864715657172,0.8249149206570207,0.87750913108079,0.5978246092796325,0.8213372409343719,1.7622695626527853,2.766620258654807,3.8502632733274367,3.485416666666667,60,equal mean of three outer-fold seed means; overlapping folds; descriptive only
rico,5,attention_lstm,1.2925751647731414,1.5090516900302104,0.665481223043911,0.6969864474862387,2.544071502685547,3.165460917154947,15.765433688825217,27.10347132757104,124.06711556667578,121.74583333333334,5,equal mean of three outer-fold seed means; overlapping folds; descriptive only
rico,5,persistence,0.09899676081008286,0.16340653358834253,0.9049959510126037,0.9517617554411612,0.4666666666666662,0.6666666666666666,0.8251465305350738,1.0581912620354812,0.006595213328061314,0.009375,5,equal mean of three outer-fold seed means; overlapping folds; descriptive only
rico,5,xgboost,0.1663698985559899,0.265534673154487,0.7475124591087946,0.8418101649204294,0.37831253051757724,0.5244675954182947,1.6626040709578682,2.384059651824708,5.230816046663676,4.783333333333334,5,equal mean of three outer-fold seed means; overlapping folds; descriptive only
rico,15,attention_lstm,1.417086366466549,1.6585105660471535,0.648016525986121,0.6858804655281183,2.641046015421549,3.221129608154296,17.157202902816916,28.98633421026582,112.2509415666699,110.40625,15,equal mean of three outer-fold seed means; overlapping folds; descriptive only
rico,15,persistence,0.28200983172622424,0.4467228890306018,0.8858521983792254,0.9348301818270311,1.2000000000000004,1.7999999999999996,2.3386531733150626,2.9737006939491466,0.0066356266659568066,0.008333333333333333,15,equal mean of three outer-fold seed means; overlapping folds; descriptive only
rico,15,xgboost,0.34887617629260753,0.4896375889731086,0.7847533363659679,0.8730576631117452,1.120775527954103,1.4882496643066407,2.7048152126460057,3.2029135184454405,5.188735146659504,4.677083333333333,15,equal mean of three outer-fold seed means; overlapping folds; descriptive only
rico,30,attention_lstm,1.5573612199489235,1.832301389707134,0.6237641841659058,0.665262683220042,2.86256716410319,3.4663537089029948,18.301106922050845,31.28922611569044,90.96906438666677,89.42083333333333,30,equal mean of three outer-fold seed means; overlapping folds; descriptive only
rico,30,persistence,0.5304282018072014,0.8159364897718531,0.8798838877581664,0.9342263177637372,2.266666666666668,3.2666666666666657,4.266909325479276,5.391694597707076,0.006554986657283734,0.010416666666666666,30,equal mean of three outer-fold seed means; overlapping folds; descriptive only
rico,30,xgboost,0.6153273524296535,0.8426147831093997,0.7855915263542635,0.8832089201379515,2.03687360127767,2.741162770589193,4.499215860817517,5.17890746841502,5.000416726665087,4.447916666666667,30,equal mean of three outer-fold seed means; overlapping folds; descriptive only
rico,60,attention_lstm,1.7366050138568525,2.088177557352189,0.6219744620790898,0.6689242063506399,3.485826644897461,4.105596110026041,18.471824503252776,30.93869703216321,69.98096597333303,68.78854166666666,60,equal mean of three outer-fold seed means; overlapping folds; descriptive only
rico,60,persistence,0.9760706333177981,1.4164051220619165,0.8717672660358659,0.9292137388860185,3.9999999999999996,5.533333333333331,7.25059702085689,8.951671839041007,0.00567245333562217,0.007291666666666666,60,equal mean of three outer-fold seed means; overlapping folds; descriptive only
rico,60,xgboost,0.913775521415542,1.3117061937200087,0.8013242241739555,0.8934252438362038,3.023511403401693,4.079901885986328,7.047262575212628,8.174487697852058,4.322460086671344,3.8541666666666665,60,equal mean of three outer-fold seed means; overlapping folds; descriptive only
