dataset,horizon,outer_fold,model_seed,source_run,source_hash,protocol_hash,target_units,physical_minutes,command_seconds,process_cpu_seconds,preparation_seconds,action_peak_rss_MiB,lifetime_peak_rss_MiB,validation_seconds,validation_cpu_seconds,resume_seconds,output_bytes
rico,15,0,43,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f0_s43_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,5e4c6f01b06012be787fa7b53f389e83a242274dc394ead5405992032a32460c,degrees C,15,199.05024730000878,195.453125,7.126714099984383,613.41015625,614.16796875,19.265222799993353,14.921875,16.223107099998742,12563018
rico,30,0,43,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f0_s43_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,8c6793b1bbccd40a36062d6b912ccf43bdbfde27616522befa8b716b46bc1625,degrees C,30,96.76740549999522,93.328125,6.766483699990204,610.84765625,617.5546875,18.93385999999009,14.75,15.9768960000074,11660711
rico,60,0,43,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f0_s43_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,89e6eaa301e5e0b123943db829657b9330a883f25f73675dce4a9316c23e7b9b,degrees C,60,99.37129750000895,96.34375,6.459673200006364,613.078125,618.3515625,18.321957299980568,14.25,15.615386999998009,9894164
rico,5,1,44,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f1_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,22f68cea779cc4cef709387af245bfbf7118b6a169618cd607d9be93a9792bc0,degrees C,5,82.72711109998636,80.453125,6.991646200011019,620.48828125,622.30078125,19.12729550001677,14.890625,15.945383300015237,10773771
rico,15,1,44,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f1_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,13e6c0359ecd6ef691c6e1fe3eda4da1c1570a24470a0ad1d86df1a9e01a3c81,degrees C,15,92.23871449998114,88.625,6.853904600022361,634.890625,638.29296875,18.80349390002084,14.546875,15.949465499987127,10947490
rico,30,1,44,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f1_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,3a862f35d8cb1619052e5198c1a529caa2045b98b02cbfa6a18a11d64a615f0d,degrees C,30,108.5276501000044,104.734375,6.439965800003847,616.54296875,616.83203125,17.9919680999883,14.296875,15.402301399997668,10191665
rico,60,1,44,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f1_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,929eff6c9180b9dc1d9e18a9f3a1bcf82b854c58a93dcef9345bc594e42ed69a,degrees C,60,70.45357869999134,67.296875,6.265512999991188,621.75,621.75,17.38371769999503,13.96875,15.370268600003328,8107626
rico,5,0,44,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f0_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,e27e0345c56115aa6dfefa687af04ed3d2e15260de6f78e2a43cbb6be0d404d5,degrees C,5,158.29295279999496,153.71875,7.2702328999876045,609.03125,610.015625,19.39608629999566,15.078125,16.60403660000884,13165996
rico,15,0,44,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f0_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,764d937d759bcd77be47c7735d6ccf9fd72aa6847f7d3182c428b3859e467156,degrees C,15,157.73037219999242,153.859375,7.037620299990522,613.2890625,622.16796875,19.286684499995317,14.859375,16.25116679997882,12553479
rico,30,0,44,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f0_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,748c000f3e34a704f1bb4d7ef093ebc332ff85f8e26142edb9f3e52d9691dcef,degrees C,30,128.94903519999934,125.5625,6.712981499993475,611.9375,617.62890625,19.25838750001276,14.890625,15.81047120000585,11657042
rico,60,0,44,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f0_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,be47b44af22e24fa1a28c4289662e0d89e524fb4d4521fe0d996678db7fdde0b,degrees C,60,92.64065849999315,89.203125,6.414501799998106,613.16796875,617.7109375,18.61856329999864,14.28125,15.628426700015552,9889342
rico,5,1,45,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f1_s45_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,95bf54f3fdb06ac2294a15e606698913a6f064e04ee5ed6bf2a8707b84af167a,degrees C,5,79.51444930001162,77.015625,6.779167600005167,628.28125,628.609375,19.235395900002914,14.90625,15.796599599998444,10766110
rico,15,1,45,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f1_s45_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,48b9d8f41fabada21e667542e662b06a1e145efe95def10151da3ea9aa0f5646,degrees C,15,80.53214379999554,77.859375,6.781777899974259,637.9375,641.11328125,19.022285700018983,14.609375,15.870775400020648,10965909
rico,30,1,45,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f1_s45_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,61d1b3a7407c7e5d96cad7d958dbf30439d93cbf4acdc5fd1b51e69221698272,degrees C,30,65.78686049999669,63.75,6.685762800014345,616.96484375,619.35546875,18.673123699991265,14.40625,15.852650099986931,10216007
rico,60,1,45,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f1_s45_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,63f6fb72940cbd6193f24e3b9be56dd7c7d7b5df8d61d95d8bb0531a91b5bc5c,degrees C,60,64.8310247999907,61.578125,6.234027700003935,606.4453125,607.11328125,16.946270300017204,13.890625,15.58300149999559,8087169
rico,5,0,45,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f0_s45_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,04fd6d4a75fe7c2cdc98b330af13b52b24962d3a9a5b8569662c0bff77741edc,degrees C,5,147.92412209999748,144.671875,7.277160700003151,614.671875,616.2890625,19.28579590001027,15.078125,16.360083900013706,13184030
rico,15,0,45,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f0_s45_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,02b8a64fc716d3b0d159c2a37c6233c5afa5e2db3bc98070e3a88c21683aed29,degrees C,15,105.2620820000011,101.953125,6.934523600008106,616.19140625,621.93359375,19.40705569999409,15.1875,15.93683880000026,12557717
rico,30,0,45,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f0_s45_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,3b6f77e778a009fc19ea750996d39a8b1b9c61db93bae48713725210281ce09d,degrees C,30,97.56365180001012,94.4375,7.045825600012904,613.6796875,621.140625,18.427587100013625,14.828125,15.998945100000128,12356916
rico,60,0,45,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f0_s45_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,d6b8bba37de95183b62360d706317177bfba15aba34b647f220cbbe8595bb3e2,degrees C,60,87.69300969998585,84.953125,6.430401799996616,618.72265625,624.4453125,18.41180049997638,14.0625,15.6846610000066,10530370
rico,5,1,46,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f1_s46_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,700f37b782032116d9aaac448ea39fa9e4ec658081dd60a6063305f505d86dc2,degrees C,5,153.86198780001723,149.390625,6.740879599994514,621.90234375,623.15234375,18.31823649999569,14.703125,15.888426499994239,10758605
rico,15,1,46,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f1_s46_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,9d15fb91cb02767e342d79592b63cc27f689243bd0fd81eb9afe26372d817566,degrees C,15,109.64818399999058,105.734375,6.691400600015186,641.0078125,641.3203125,18.821557599992957,14.6875,15.967030999978306,10959401
