dataset,horizon,outer_fold,model,mae,rmse,coverage90,coverage95,mpiw90,mpiw95,winkler90,winkler95,model_phase_seconds,process_cpu_seconds,aggregation
pleia_energy,6,0,xgboost,0.11606056104215005,2.475697892109518,0.9518215763447371,0.9755575739226966,0.8120428085327148,1.0442935466766357,1.5097156787281958,2.272621081547655,4.347573219990591,3.734375,mean across five training seeds within one outer fold; descriptive only
pleia_energy,6,1,attention_lstm,0.22704862682907448,3.293143982837028,0.882527505803977,0.952538609064298,0.8721096634864807,1.3278472900390625,2.144561660139354,3.1797749599077685,65.17798171999748,64.375,mean across five training seeds within one outer fold; descriptive only
pleia_energy,6,1,persistence,0.259079754214192,4.6431333993305035,0.8938124558393057,0.9491268799838497,1.015625,1.3125,2.8072559175330576,4.43197991319269,0.005698559997836128,0.00625,mean across five training seeds within one outer fold; descriptive only
pleia_energy,6,1,xgboost,0.21511768684583826,3.2908615521837477,0.8924195013626729,0.9548400121126477,0.8274586915969848,1.1971545457839965,1.98589373463589,2.9844704175291414,3.55897224000073,3.128125,mean across five training seeds within one outer fold; descriptive only
pleia_energy,6,2,attention_lstm,0.15372142823454565,0.2628582206937612,0.5768850307863127,0.6627435146865852,0.20730922222137452,0.2588886857032776,1.8087594036787877,3.07408660555675,62.586212299992624,61.45625,mean across five training seeds within one outer fold; descriptive only
pleia_energy,6,2,persistence,0.12998936988997678,0.25754481604675455,0.5607146462097506,0.6406581205208438,0.078125,0.125,2.156516541334411,3.899036035126675,0.007236299991200212,0.003125,mean across five training seeds within one outer fold; descriptive only
pleia_energy,6,2,xgboost,0.12805280013146592,0.24503470267824942,0.630503684263652,0.7021298072070253,0.153972327709198,0.22256363034248353,1.7911992745942698,3.042769276887624,3.6442443599909895,3.59375,mean across five training seeds within one outer fold; descriptive only
rico,5,0,attention_lstm,0.40928395914476967,0.5189128414446432,0.9229047827994734,0.9631636682755594,1.8247358703613272,2.2878742980957014,2.242160748477147,2.6285638131798215,149.58578192001443,146.940625,mean across five training seeds within one outer fold; descriptive only
rico,5,0,persistence,0.10910487055726197,0.19097679676376933,0.934730144800351,0.9477841158402807,0.6000000000000014,0.7999999999999972,0.9780166739798162,1.2967090829311105,0.006558739993488416,0.003125,mean across five training seeds within one outer fold; descriptive only
rico,5,0,xgboost,0.08913520762772867,0.11858756858514403,0.8633611232996928,0.9286748573935937,0.33134048461914034,0.4223536682128922,0.5393862925249531,0.656504438667247,5.89361184000154,5.275,mean across five training seeds within one outer fold; descriptive only
