dataset,horizon,outer_fold,model_seed,model,role,candidate_id,phase,source_run,source_hash,protocol_hash,physical_minutes,target_units,original_runs,n,sample_weighted_bias,sample_weighted_mae,sample_weighted_rmse,equal_run_bias,equal_run_mae,equal_run_root_mean_mse
rico,30,2,42,attention_lstm,inner0_validation,0,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,30,degrees C,20,3740,1.216168123745026,1.7309137272962274,3.0501505466966647,1.216168123745026,1.7309137272962272,3.050150546696664
rico,30,2,42,attention_lstm,inner0_validation,1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,30,degrees C,20,3740,1.4752454432319193,1.8457074310180335,2.767327120895826,1.4752454432319193,1.845707431018034,2.767327120895826
rico,30,2,42,attention_lstm,inner1_validation,0,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,30,degrees C,21,3927,1.0085369789117706,1.3355869379667706,1.9171546929076255,1.0085369789117704,1.3355869379667704,1.9171546929076255
rico,30,2,42,attention_lstm,inner1_validation,1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,30,degrees C,21,3927,1.0430952981861912,1.354224469869957,1.9290829743652718,1.043095298186191,1.354224469869957,1.9290829743652715
rico,30,2,42,attention_lstm,test,-1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,30,degrees C,1,187,0.25304422429538664,0.25322811310304033,0.27047739569918594,0.25304422429538664,0.25322811310304033,0.27047739569918594
rico,30,2,42,attention_lstm,test,-1,3.0,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,30,degrees C,6,1122,2.5655534098280093,2.5666856099365014,2.8737403506732777,2.5655534098280093,2.566685609936502,2.8737403506732777
rico,30,2,42,attention_lstm,test,-1,4.0,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,30,degrees C,34,6358,2.5247485715512696,2.7324804644421152,3.175886778401819,2.52474857155127,2.7324804644421157,3.175886778401819
rico,30,2,42,persistence,calibration,-1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,30,degrees C,21,3927,0.05418894830659536,0.47211611917494267,0.7252406676228422,0.054188948306595375,0.47211611917494267,0.7252406676228422
rico,30,2,42,persistence,fit,0,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,30,degrees C,61,11407,0.02640483913386519,0.5962829841325502,0.9763334296735581,0.02640483913386518,0.5962829841325503,0.9763334296735582
rico,30,2,42,persistence,inner0_validation,-1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,30,degrees C,20,3740,-0.02617647058823529,0.5391711229946525,0.9150450735515798,-0.02617647058823529,0.5391711229946525,0.9150450735515798
rico,30,2,42,persistence,inner1_validation,-1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,30,degrees C,21,3927,0.01403106697224345,0.7067226890756303,1.1697365844955037,0.014031066972243452,0.7067226890756301,1.1697365844955037
rico,30,2,42,persistence,test,-1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,30,degrees C,1,187,-0.279144385026738,0.279144385026738,0.3025736309380536,-0.279144385026738,0.279144385026738,0.30257363093805356
