dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,model,role,candidate_id,selected_candidate,prediction_source,group_id,aggregation,n,bias,mae,rmse,truth_mean,truth_min,truth_max,prediction_min,prediction_max,phase
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P4S3,within original group,212,-0.01320754716981134,0.01320754716981134,0.036342189215581605,17.71981132075472,17.3,17.8,17.2,17.8,4.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P4S5,within original group,212,-0.013679245283018894,0.07500000000000007,0.09833519878840295,18.01367924528302,17.1,18.7,17.0,18.7,4.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P4S6,within original group,212,0.02122641509433959,0.025943396226415127,0.05093466032714379,16.491981132075473,16.2,17.1,16.2,17.2,4.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P4S7,within original group,212,-0.05660377358490564,0.05660377358490564,0.09059551407112447,18.900471698113208,17.2,19.5,17.0,19.5,4.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P4S8,within original group,212,0.012735849056603786,0.023113207547169806,0.04904753181719228,18.75566037735849,18.6,19.2,18.6,19.3,4.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P4S9,within original group,212,-0.09150943396226417,0.10000000000000002,0.17617529863478762,24.19622641509434,21.3,24.8,20.7,24.8,4.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P4S10,within original group,212,0.022641509433962283,0.044339622641509424,0.06868028197434452,23.338207547169805,23.1,24.1,23.1,24.2,4.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P4S11,within original group,212,-0.016981132075471687,0.033018867924528114,0.05746204653902255,23.81415094339623,23.3,24.0,23.2,24.0,4.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P4S12,within original group,212,-0.10377358490566034,0.10377358490566034,0.1430793420211581,29.199056603773588,26.2,30.4,25.9,30.4,4.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P4S13,within original group,212,0.14528301886792452,0.14528301886792452,0.18351905972682744,24.58207547169811,22.7,28.7,22.8,29.0,4.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P4S14,within original group,212,0.04386792452830187,0.04386792452830187,0.0662328653527098,21.66698113207547,20.8,22.7,20.9,22.7,4.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P4S15,within original group,212,-0.09481132075471702,0.09669811320754723,0.14650004829672722,25.192452830188675,22.3,26.1,21.9,26.1,4.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P4S16,within original group,212,0.18632075471698112,0.18632075471698112,0.2372205406486976,18.027830188679246,15.7,23.3,15.8,23.8,4.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P4S17,within original group,212,0.011320754716981133,0.01603773584905659,0.040047142031681325,15.70801886792453,15.4,16.0,15.5,16.0,4.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P4S18,within original group,212,-0.12264150943396228,0.12264150943396228,0.1885896013460155,21.17216981132076,17.4,22.3,16.9,22.3,4.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P4S19,within original group,212,0.0783018867924528,0.0783018867924528,0.11856054897639813,18.372641509433958,17.6,20.7,17.6,21.1,4.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P4S20,within original group,212,-0.017452830188679207,0.02216981132075458,0.04708482910742529,18.76698113207548,18.2,18.9,18.1,18.9,4.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P4S21,within original group,212,-0.0674528301886792,0.0674528301886792,0.09491803812903077,21.546698113207544,19.6,22.4,19.5,22.4,4.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P4S22,within original group,212,-0.014150943396226365,0.017924528301886795,0.042337369193050714,23.17688679245283,22.8,23.4,22.8,23.4,4.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P4S23,within original group,212,0.08018867924528307,0.08018867924528307,0.093162467136819,21.62971698113207,20.2,23.6,20.3,23.6,4.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,P4S24,within original group,212,0.03160377358490569,0.03537735849056612,0.06026670284409238,18.60141509433962,18.2,19.5,18.2,19.6,4.0
