dataset,group_id,target_id,n_rows,start,end,freq,season_steps,seasonal_naive_supported,n_train,n_calibration,n_test
rico,P4S10,B.RTD3,240,2024-01-31 07:01:00,2024-01-31 11:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S11,B.RTD3,240,2024-01-31 11:01:00,2024-01-31 15:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S12,B.RTD3,240,2024-01-31 15:01:00,2024-01-31 19:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S13,B.RTD3,240,2024-01-31 19:01:00,2024-01-31 23:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S14,B.RTD3,240,2024-01-31 23:01:00,2024-02-01 03:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S15,B.RTD3,240,2024-02-01 03:01:00,2024-02-01 07:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S16,B.RTD3,240,2024-02-01 07:01:00,2024-02-01 11:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S17,B.RTD3,240,2024-02-01 11:01:00,2024-02-01 15:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S18,B.RTD3,240,2024-02-01 15:01:00,2024-02-01 19:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S19,B.RTD3,240,2024-02-01 19:01:00,2024-02-01 23:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S20,B.RTD3,240,2024-02-01 23:01:00,2024-02-02 03:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S21,B.RTD3,240,2024-02-02 03:01:00,2024-02-02 07:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S22,B.RTD3,240,2024-02-02 07:01:00,2024-02-02 11:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S23,B.RTD3,240,2024-02-02 11:01:00,2024-02-02 15:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S24,B.RTD3,240,2024-02-02 15:01:00,2024-02-02 19:00:00,0 days 00:01:00,,False,240,0,0
