dataset,outer_fold,model_seed,horizon,level,method,support,n,coverage,signed_coverage_deviation,absolute_coverage_deviation,mpiw,winkler,mae,rmse,sum_absolute_error,sum_squared_error,sum_width,sum_winkler,covered_count,available_count,unavailable_count,raw_crossed,status
pleia_energy,2,42,3,0.95,recentred_enbpi_static,common,9902,0.467885275701878,-0.482114724298122,0.482114724298122,0.0984903996189435,3.59666700066309,0.120760272033428,0.223693811046775,1195.768213675,495.485396738439,975.251937026779,35614.196640566,4633,9902,0,0,complete
pleia_energy,2,42,3,0.95,recentred_enbpi_updated,common,9902,0.807513633609372,-0.142486366390628,0.142486366390628,0.334268305532216,1.67496374766512,0.120760272033428,0.223693811046775,1195.768213675,495.485396738439,3309.92476138,16585.49102938,7996,9902,0,0,complete
pleia_energy,2,42,3,0.95,dscp,common,9902,0.742779236517875,-0.207220763482125,0.207220763482125,0.245579089987154,2.35153394511157,0.11950509981114,0.226197070003071,1183.33949832991,506.636963560902,2431.7241490528,23284.8891244948,7355,9902,0,0,complete
pleia_energy,2,42,6,0.9,quantile_uncalibrated,common,9902,0.726317915572612,-0.173682084427388,0.173682084427388,0.320553962568818,0.968195552124957,0.120881231415509,0.242936344279638,1196.96595347637,584.396903117095,3174.12533735643,9587.07235714133,7192,9902,0,8,complete
pleia_energy,2,42,6,0.9,cqr,common,9902,0.801959200161584,-0.0980407998384165,0.0980407998384165,0.326549154462343,0.975416067739838,0.120881231415509,0.242936344279638,1196.96595347637,584.396903117095,3233.48972748613,9658.56990275988,7941,9902,0,8,complete
pleia_energy,2,42,6,0.9,recentred_enbpi_static,common,9902,0.215007069278934,-0.684992930721066,0.684992930721066,0.0641991719603539,2.21797658403584,0.135376585001717,0.241380731140912,1340.498944687,576.936637239332,635.700200751424,21962.4041351229,2129,9902,0,0,complete
pleia_energy,2,42,6,0.9,recentred_enbpi_updated,common,9902,0.679054736416886,-0.220945263583115,0.220945263583115,0.222796745878711,1.35493634157655,0.135376585001717,0.241380731140912,1340.498944687,576.936637239332,2206.133377691,13416.579654291,6724,9902,0,0,complete
pleia_energy,2,42,6,0.9,dscp,common,9902,0.625227226822864,-0.274772773177136,0.274772773177136,0.188703440203044,1.54533544433292,0.128824599797158,0.246184005903148,1275.62118719146,600.126204278484,1868.54146489054,15301.9115697846,6191,9902,0,0,complete
pleia_energy,2,42,6,0.95,quantile_uncalibrated,common,9902,0.837103615431226,-0.112896384568774,0.112896384568774,0.529127104962967,1.34275559104984,0.120881231415509,0.242936344279638,1196.96595347637,584.396903117095,5239.4165933433,13295.9658625755,8289,9902,0,0,complete
pleia_energy,2,42,6,0.95,cqr,common,9902,0.777923651787518,-0.172076348212482,0.172076348212482,0.325519948216157,1.99483519575679,0.120881231415509,0.242936344279638,1196.96595347637,584.396903117095,3223.29852723638,19752.8581083837,7703,9902,0,0,complete
pleia_energy,2,42,6,0.95,recentred_enbpi_static,common,9902,0.313976974348616,-0.636023025651383,0.636023025651383,0.0991552025079727,3.99201793036866,0.135376585001717,0.241380731140912,1340.498944687,576.936637239332,981.834815233946,39528.9615465104,3109,9902,0,0,complete
pleia_energy,2,42,6,0.95,recentred_enbpi_updated,common,9902,0.809028479095132,-0.140971520904868,0.140971520904868,0.349713522165219,1.78770968758635,0.135376585001717,0.241380731140912,1340.498944687,576.936637239332,3462.86329648,17701.90132648,8011,9902,0,0,complete
