dataset,outer_fold,role,n,groups,origin_min,origin_max,target_min,target_max,asset_days,membership_hash,segments,eligible_onset_positions,guarded_capacity_per_catalogue,request_per_catalogue,frequency_minutes,horizon_steps
pleia_energy,1,inner0_selection,5571,1,2021-03-26 09:10:00,2021-05-04 01:30:00,2021-03-26 09:20:00,2021-05-04 01:40:00,38.6875,3691a162e8a84c57c6d31a5d876927345bf72482297f5c1adb2d625896bf2291,1,5559,133,19,10.0,1
pleia_energy,1,inner1_train,11142,1,2021-01-07 23:50:00,2021-03-26 08:50:00,2021-01-08 00:00:00,2021-03-26 09:00:00,77.375,b1940b3bd29fb3f5ef34693ee73a16de096d0b42542291f21e73f9bed175490e,2,11118,266,39,10.0,1
pleia_energy,1,inner1_calibration,5571,1,2021-03-26 09:10:00,2021-05-04 01:30:00,2021-03-26 09:20:00,2021-05-04 01:40:00,38.6875,3691a162e8a84c57c6d31a5d876927345bf72482297f5c1adb2d625896bf2291,1,5559,133,19,10.0,1
pleia_energy,1,inner1_selection,5573,1,2021-05-04 01:50:00,2021-06-11 18:30:00,2021-05-04 02:00:00,2021-06-11 18:40:00,38.701388888888886,a0de192f6b48c58a4042d74a83da89128969446d990b82cf32fbaa0a6fbf4565,1,5561,133,19,10.0,1
pleia_energy,2,B0,3713,1,2021-01-07 23:50:00,2021-02-02 18:30:00,2021-01-08 00:00:00,2021-02-02 18:40:00,25.78472222222222,0c050bcbd0085b920ed90f6e2d77e8f254b5a5586c12d217575989b931bed6d0,1,3701,89,13,10.0,1
pleia_energy,2,B1,3714,1,2021-02-02 18:50:00,2021-02-28 13:40:00,2021-02-02 19:00:00,2021-02-28 13:50:00,25.791666666666668,c8151c1a593fed96e3144eacc267ff1028f712399ebfb4351527d3c7c86a8b2f,1,3702,89,13,10.0,1
pleia_energy,2,B2,3713,1,2021-02-28 14:00:00,2021-03-26 08:40:00,2021-02-28 14:10:00,2021-03-26 08:50:00,25.78472222222222,09a56eb15473ab3ec312617b7c46c9a4d24ca2c0217181331cae5662158df378,1,3701,89,13,10.0,1
pleia_energy,2,B3,3715,1,2021-03-26 09:00:00,2021-04-21 04:00:00,2021-03-26 09:10:00,2021-04-21 04:10:00,25.79861111111111,116557f08987d3f700f60dd4e0fbbebfc4e30680bf3f114128154fdb1e516365,1,3703,89,13,10.0,1
pleia_energy,2,final_fit,14855,1,2021-01-07 23:50:00,2021-04-21 04:00:00,2021-01-08 00:00:00,2021-04-21 04:10:00,103.15972222222224,193a0b2f37af73faafc76dc08a3f21a0e78bcbd3c60d9516e65fec54e2fa0d25,4,14807,356,52,10.0,1
pleia_energy,2,final_calibration,4954,1,2021-04-21 04:20:00,2021-05-25 13:50:00,2021-04-21 04:30:00,2021-05-25 14:00:00,34.40277777777778,30cf7aa9df724790d9fb9f6fb622b5ef42251f3b000e94f5e225dfe96abf3c1b,1,4942,118,17,10.0,1
