dataset,outer_fold,role,n,groups,origin_min,origin_max,target_min,target_max,asset_days,membership_hash
pleia,0,inner1_selection,7430,1,2021-06-11 18:50:00,2021-08-02 09:00:00,2021-06-11 19:00:00,2021-08-02 09:10:00,51.59722222222222,149c87769c8facd0115f791414ef33c14f07b23557a0416358cef8182e3be44b
pleia,1,B0,5571,1,2021-01-08 00:00:00,2021-02-15 16:20:00,2021-01-08 00:10:00,2021-02-15 16:30:00,38.6875,d1111ecac6e2db5177d53a95178350ba5836938115fe02870c8d4f7ddd626833
pleia,1,B1,5571,1,2021-02-15 16:40:00,2021-03-26 09:00:00,2021-02-15 16:50:00,2021-03-26 09:10:00,38.6875,8dc62fba9fb5ce560530d03a349bfc7aaeab5562bb22f1e97ab02afd91294104
pleia,1,B2,5571,1,2021-03-26 09:20:00,2021-05-04 01:40:00,2021-03-26 09:30:00,2021-05-04 01:50:00,38.6875,b716f00951fc337c203af516a406302c89be414056226310ea1a3c419027e82f
pleia,1,B3,5573,1,2021-05-04 02:00:00,2021-06-11 18:40:00,2021-05-04 02:10:00,2021-06-11 18:50:00,38.701388888888886,ae0d53209fc96ac288a31ee0b49ab30b39058ed13814f957ea3db788caf50665
pleia,1,final_fit,22286,1,2021-01-08 00:00:00,2021-06-11 18:40:00,2021-01-08 00:10:00,2021-06-11 18:50:00,154.76388888888889,42916607316925b8452155152ebb1151d6af235431ea2ab5a3c350719d3d5dcc
pleia,1,final_calibration,7430,1,2021-06-11 19:00:00,2021-08-02 09:10:00,2021-06-11 19:10:00,2021-08-02 09:20:00,51.59722222222222,7508a4eb7b7216a75fd1b030f31c7c951ad251ee7ad2a23be4b69b44b797b8df
pleia,1,outer_test,9907,1,2021-08-02 09:30:00,2021-10-10 04:30:00,2021-08-02 09:40:00,2021-10-10 04:40:00,68.79861111111111,424af8cc3bd44de5f0cc7b5f16cc66221a3c7c41bb24dacb13e54495693822b5
pleia,1,inner0_train,5571,1,2021-01-08 00:00:00,2021-02-15 16:20:00,2021-01-08 00:10:00,2021-02-15 16:30:00,38.6875,d1111ecac6e2db5177d53a95178350ba5836938115fe02870c8d4f7ddd626833
pleia,1,inner0_calibration,5571,1,2021-02-15 16:40:00,2021-03-26 09:00:00,2021-02-15 16:50:00,2021-03-26 09:10:00,38.6875,8dc62fba9fb5ce560530d03a349bfc7aaeab5562bb22f1e97ab02afd91294104
pleia,1,inner0_selection,5571,1,2021-03-26 09:20:00,2021-05-04 01:40:00,2021-03-26 09:30:00,2021-05-04 01:50:00,38.6875,b716f00951fc337c203af516a406302c89be414056226310ea1a3c419027e82f
pleia,1,inner1_train,11142,1,2021-01-08 00:00:00,2021-03-26 09:00:00,2021-01-08 00:10:00,2021-03-26 09:10:00,77.375,a5c701edcf9f107b9e87483396a1505a64791a0e4c14978febf5a1fc3efe7293
pleia,1,inner1_calibration,5571,1,2021-03-26 09:20:00,2021-05-04 01:40:00,2021-03-26 09:30:00,2021-05-04 01:50:00,38.6875,b716f00951fc337c203af516a406302c89be414056226310ea1a3c419027e82f
pleia,1,inner1_selection,5573,1,2021-05-04 02:00:00,2021-06-11 18:40:00,2021-05-04 02:10:00,2021-06-11 18:50:00,38.701388888888886,ae0d53209fc96ac288a31ee0b49ab30b39058ed13814f957ea3db788caf50665
