model_seed,control_id,rule_id,channel,conditional_context_detection,restricted_ttd_equal_stratum_minutes,detected,misses,detected_delay_median_minutes,detected_delay_q90_minutes,supported_strata,original_eligible_rows,original_asset_days,background_episodes,background_episodes_per_asset_day,alert_rows,time_in_alert_days,fraction_time_in_alert
44,cqr_rolling,360min_4of36,numerical_only,0.15310441989904333,99.69629212814263,435,2292,40.0,80.0,21,9907,68.79861111111111,55,0.7994347431109317,2661,18.479166666666664,0.2685979610376501
44,cqr_rolling,60min_4of6,availability_only,0.0625634927072711,105.22304529371775,172,2555,30.0,50.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
44,cqr_rolling,60min_4of6,combined,0.30186324610960547,89.00734285846072,850,1877,40.0,50.0,21,9907,68.79861111111111,64,0.930251337438175,760,5.277777777777778,0.07671343494498839
44,cqr_rolling,60min_4of6,numerical_only,0.24524070254318472,93.80573838880134,695,2032,40.0,80.0,21,9907,68.79861111111111,64,0.930251337438175,760,5.277777777777778,0.07671343494498839
44,cqr_rolling,single_sample,availability_only,0.2857142857142857,82.30504841862118,687,2040,10.0,30.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
44,cqr_rolling,single_sample,combined,0.6889976383155468,47.59139839826261,1844,883,10.0,60.0,21,9907,68.79861111111111,203,2.9506409609367115,911,6.326388888888888,0.09195518320379528
44,cqr_rolling,single_sample,numerical_only,0.45454017306143735,71.97467332568979,1279,1448,20.0,60.0,21,9907,68.79861111111111,203,2.9506409609367115,911,6.326388888888888,0.09195518320379528
44,cqr_static,180min_3of18,availability_only,0.1299780213837644,99.3854099069868,357,2370,30.0,40.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
44,cqr_static,180min_3of18,combined,0.16687056474114628,98.15307297886709,461,2266,30.0,80.0,21,9907,68.79861111111111,31,0.450590491571616,7556,52.47222222222222,0.7626930453214898
44,cqr_static,180min_3of18,numerical_only,0.133569342727357,101.56218203942836,372,2355,40.0,99.00000000000034,21,9907,68.79861111111111,31,0.450590491571616,7556,52.47222222222222,0.7626930453214898
44,cqr_static,30min_3of3,availability_only,0.1098438320818269,100.8119051481722,307,2420,30.0,30.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
44,cqr_static,30min_3of3,combined,0.3295895641676528,91.4252347597053,924,1803,60.0,80.0,21,9907,68.79861111111111,109,1.5843343090743918,6403,44.46527777777778,0.6463106894115271
44,cqr_static,30min_3of3,numerical_only,0.4627936143633312,86.90088545557742,1236,1491,60.0,80.0,21,9907,68.79861111111111,109,1.5843343090743918,6403,44.46527777777778,0.6463106894115271
44,cqr_static,360min_4of36,availability_only,0.0625634927072711,105.22304529371775,172,2555,30.0,50.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
44,cqr_static,360min_4of36,combined,0.10664893187969542,102.79406297317762,297,2430,40.0,80.0,21,9907,68.79861111111111,18,0.2616331886544867,7938,55.125,0.8012516402543656
44,cqr_static,360min_4of36,numerical_only,0.08412682886262875,104.50107470389196,236,2491,40.0,70.0,21,9907,68.79861111111111,18,0.2616331886544867,7938,55.125,0.8012516402543656
44,cqr_static,60min_4of6,availability_only,0.0625634927072711,105.22304529371775,172,2555,30.0,50.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
44,cqr_static,60min_4of6,combined,0.25308024126263096,97.43218322776872,709,2018,60.0,90.0,21,9907,68.79861111111111,80,1.1628141717977187,6615,45.9375,0.6677097002119713
44,cqr_static,60min_4of6,numerical_only,0.3166084794560264,96.76972153640821,885,1842,80.0,90.0,21,9907,68.79861111111111,80,1.1628141717977187,6615,45.9375,0.6677097002119713
