dataset,horizon,outer_fold,model_seed,model,physical_minutes,target_units,source_run,source_hash,protocol_hash,n_calibration,n_test,deterministic_baseline_alias,nominal_level,coverage,signed_coverage_deviation,absolute_coverage_deviation,mpiw,winkler,q,rank
pleia_energy,6,2,42,attention_lstm,60,kWh per 10 minutes,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,4951,9907,False,0.95,0.6448975471888564,-0.30510245281114357,0.30510245281114357,0.23959028720855713,3.1375937770495206,0.11979514360427856,4705
rico,15,2,42,persistence,15,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,4242,8282,True,0.9,0.9153586090316349,0.015358609031634884,0.015358609031634884,1.0,1.658295097802463,0.5,3819
rico,15,2,42,persistence,15,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,4242,8282,True,0.95,0.9629316590195605,0.012931659019560504,0.012931659019560504,1.6000000000000014,2.1462448683892776,0.8000000000000007,4031
rico,15,2,42,xgboost,15,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,4242,8282,False,0.9,0.6016662641873943,-0.2983337358126057,0.2983337358126057,0.7542602539062528,4.460707377120791,0.3771301269531264,3819
rico,15,2,42,xgboost,15,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,4242,8282,False,0.95,0.8117604443371167,-0.13823955566288326,0.13823955566288326,1.5278099060058565,4.6402000202472875,0.7639049530029283,4031
rico,15,2,42,attention_lstm,15,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,4242,8282,False,0.9,0.15225790871770103,-0.747742091282299,0.747742091282299,1.386624908447267,36.229294898653336,0.6933124542236335,3819
rico,15,2,42,attention_lstm,15,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,4242,8282,False,0.95,0.17797633421878772,-0.7720236657812123,0.7720236657812123,1.5523620605468764,68.46653170554534,0.7761810302734382,4031
rico,30,2,42,persistence,30,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,3927,7667,True,0.9,0.921612103821573,0.02161210382157297,0.02161210382157297,2.0,3.0014347202295553,1.0,3536
rico,30,2,42,persistence,30,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,3927,7667,True,0.95,0.9641319942611191,0.014131994261119107,0.014131994261119107,3.0,3.8623972870744745,1.5,3732
rico,30,2,42,xgboost,30,degrees C,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,3927,7667,False,0.9,0.6884048519629581,-0.21159514803704194,0.21159514803704194,1.4331306457519517,5.652209475940068,0.7165653228759759,3536
