dataset,outer_fold,model_seed,horizon,level,method,support,group_id,n,coverage,signed_coverage_deviation,absolute_coverage_deviation,mpiw,winkler,mae,rmse,sum_absolute_error,sum_squared_error,sum_width,sum_winkler,covered_count,available_count,unavailable_count,raw_crossed,status
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S16,157,0.08917197452229299,-0.810828025477707,0.810828025477707,3.382691967092876,16.328788833573388,0.13327428155735035,0.16485876602194033,20.924062204504008,4.2670107992814685,531.0826388335815,2563.6198468710218,14,157,0,5,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S17,157,0.0,-0.9,0.9,0.49925884706956775,8.160199449985459,0.3740775566257535,0.39037464685409384,58.7301763902433,23.925601290313978,78.38363898992213,1281.151313647717,0,157,0,32,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S18,157,0.7898089171974523,-0.11019108280254775,0.11019108280254775,2.5215454048467896,3.801446030305597,0.19069456250017322,0.28714911945789573,29.939046312527196,12.945374838454846,395.88262856094593,596.8270267579787,124,157,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S19,157,0.025477707006369428,-0.8745222929936306,0.8745222929936306,3.704400715231227,18.3631662628369,0.09295249563301447,0.11504600562461642,14.593541814383272,2.077986595398146,581.5909122913026,2883.017103265393,4,157,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S2,157,0.0,-0.9,0.9,4.589690828088473,14.301228594947782,0.0812009672759652,0.09676400254720503,12.748551862326536,1.4700337336660136,720.5814600098903,2245.292889406802,0,157,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S20,157,0.050955414012738856,-0.8490445859872612,0.8490445859872612,4.0393919267260845,8.093714541949634,0.0925767071511175,0.1165513377641818,14.534543022725448,2.1327216505354016,634.1845324959952,1270.7131830860924,8,157,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S21,157,0.9235668789808917,0.023566878980891715,0.023566878980891715,2.1084610700395694,2.422866688586698,0.14076333809274785,0.17585263832875248,22.099844080561414,4.855091613927735,331.0283879962124,380.39007010811156,145,157,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S22,157,1.0,0.09999999999999998,0.09999999999999998,1.0212405403986473,1.0212405403986473,0.0646283708895414,0.08862863827749698,10.146654229658001,1.2332405770989743,160.33476484258762,160.33476484258762,157,157,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S23,157,0.49044585987261147,-0.40955414012738856,0.40955414012738856,1.1779447764885895,4.062175287022426,0.07390930815198826,0.09436853409392534,11.603761379862156,1.398150975644707,184.93732990870856,637.761520062521,77,157,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S24,157,0.0,-0.9,0.9,3.9248492258706005,15.019404363418458,0.05012734676358841,0.06142311172847696,7.869993441883381,0.5923293887422074,616.2013284616843,2358.0464850566977,0,157,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S25,157,0.012738853503184714,-0.8872611464968153,0.8872611464968153,1.2752842289511317,35.43903407992126,1.065929557179214,1.2608490291737096,167.3509404771366,249.5892230758209,200.21962394532767,5563.928350547638,2,157,0,95,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S26,157,0.05732484076433121,-0.8426751592356688,0.8426751592356688,0.3228057099944051,16.69987617968848,0.39396818288368585,0.5908599831268903,61.85300471273868,54.811136586731315,50.6804964691216,2621.8805602110915,9,157,0,76,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S27,157,0.0,-0.9,0.9,4.747634718481145,11.265447312161626,0.17659209458034103,0.2025798087108722,27.72495884911354,6.4430568868813705,745.3786508015398,1768.6752280093754,0,157,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S28,157,0.025477707006369428,-0.8745222929936306,0.8745222929936306,1.1951416356118836,21.810671455386117,0.29465322008597794,0.344780551955622,46.260555553498534,18.663159754071266,187.63723679106573,3424.2754184956207,4,157,0,105,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S29,157,0.0,-0.9,0.9,0.5667134377077608,10.05988489215257,0.2542231419474789,0.3085075518168366,39.91303328575419,14.942774795898845,88.97400972011846,1579.4019280679536,0,157,0,3,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S3,157,0.0,-0.9,0.9,4.9955372177288915,10.189731919758527,0.14912900316023112,0.15709854805730142,23.413253496156283,3.8747527468688228,784.299343183436,1599.7879114020886,0,157,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S30,157,0.732484076433121,-0.16751592356687905,0.16751592356687905,2.112274354222523,3.4565470531614895,0.24861965594148905,0.3355767956779828,39.03328598281378,17.680050370207912,331.6270736129361,542.6778873463538,115,157,0,1,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S31,157,0.0,-0.9,0.9,1.8736467959798089,25.858615077682945,0.5264526455939976,0.6207900065809603,82.65306535825762,60.50469646651383,294.16254696883,4059.8025671962223,0,157,0,67,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S32,157,0.0,-0.9,0.9,3.113757084434586,29.86103832393488,0.13706151661692978,0.22528197977654082,21.518658108857977,7.9680593546899265,488.85986225623003,4688.183016857776,0,157,0,6,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S33,157,0.7452229299363057,-0.15477707006369434,0.15477707006369434,2.9464005763039367,4.684781874558019,0.18492447616483684,0.21760052184275344,29.033142757879386,7.433947975679463,462.58489047971807,735.510754305609,117,157,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S34,157,0.5095541401273885,-0.3904458598726115,0.3904458598726115,0.8870686675877076,1.8416978525498588,0.12548740480963536,0.16524727137320946,19.701522555112753,4.287145729317707,139.2697808112701,289.1465628503278,80,157,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S5,157,0.6496815286624203,-0.2503184713375797,0.2503184713375797,4.922328224339529,6.4160289242220365,0.17098265651198846,0.20141766375731376,26.844277072382187,6.369344817932327,772.8055312213062,1007.3165411028597,102,157,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S6,157,0.5668789808917197,-0.3331210191082803,0.3331210191082803,2.195320293331878,3.185517456162812,0.07533627902060715,0.09124504322116782,11.827795806235322,1.3071282922519467,344.66528605310486,500.12624061756145,89,157,0,103,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S7,157,0.10191082802547771,-0.7980891719745223,0.7980891719745223,4.014959829495008,10.327221199810133,0.17073137034918864,0.19760029521298428,26.804825144822615,6.130202636916589,630.3486932307162,1621.3737283701907,16,157,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S8,157,0.0,-0.9,0.9,3.998970161064926,8.919869933604888,0.068816072444995,0.08025132825836256,10.804123373864215,1.0111232828953396,627.8383152871934,1400.4195795759674,0,157,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,common,P4S9,157,0.9171974522292994,0.01719745222929936,0.01719745222929936,0.6614635482518975,0.6794353281500632,0.10461888053624131,0.15088001139600812,16.425164244189887,3.5740701207009486,103.8497770755479,106.67134651955993,144,157,0,0,complete
rico,2,42,5,0.9,cqr,native,P1S101,212,0.9292452830188679,0.029245283018867863,0.029245283018867863,0.26917490892105306,0.3111500125820819,0.07674155140111498,0.0950595451288205,16.269208897036375,1.9156992294608317,57.06508069126325,65.96380266740137,197,212,0,0,complete
