dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,command_seconds,process_cpu_seconds,preparation_seconds,preparation_peak_rss_MiB,action_peak_rss_MiB,lifetime_peak_rss_MiB,validation_seconds,validation_cpu_seconds,resume_seconds,output_bytes
bdg2,3,2,45,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b09d5d8c367121e6d22677abdb3f3bdb6a98e8404434e14ad1bfa57c42d265dd,390.87509679999494,381.578125,14.762562100004288,878.30078125,878.67578125,983.80859375,27.506463600002462,22.765625,21.78922479999892,33947348
bdg2,6,2,45,kWh per hour,360,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,bf3712ec340f3bdba2b4f5fb836947320a1d97c097af41bf3d3d7cb8c8c05269,388.39225609999266,380.703125,14.203205400001025,984.3515625,984.328125,984.375,27.907083799989778,22.515625,21.073821199999657,33968089
pleia,1,2,45,degrees C,10,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,ce8d6b4c952de02d809dfc2b4fbd7b34988a37c2c5ca18c286a65afd2a71556a,229.61475709998922,223.1875,7.38571500001126,1097.88671875,1097.69921875,1186.41796875,15.042298499989556,10.46875,12.448852899993653,9791997
pleia,3,2,45,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,43fdef7973feabb27f49a6f3a57657663ea1c46bff243e5d984ce84c66f35ce8,211.64764539999305,205.484375,7.111343899989151,1144.59765625,1144.59765625,1186.578125,15.907007399990107,11.09375,12.36447390000103,9801832
pleia,6,2,45,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7b3af2e5082254e020ca867fb95d22cc2dc6b99331e9a1c7f86c6a385461bbeb,128.0120201999962,122.578125,7.258845600008499,1074.46484375,1074.27734375,1187.02734375,15.701756900001783,10.875,12.773449000000255,9793425
pleia_energy,1,2,46,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,d3f48a48b1e9bd268b7a135c9afd44e18a498537f9d3262d88eb1ded5694a0c3,112.25253339999472,107.40625,3.583896799987997,380.1796875,595.83203125,602.390625,10.481549999996787,6.296875,8.232048299993039,9992843
pleia_energy,3,2,46,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fb989e0b28343b79b68029382ab18ade0ee12ee10ed49917a8ceffa6f9970124,91.42729540000437,87.8125,3.6101640999986557,377.9453125,601.890625,605.5390625,10.247934600003646,6.3125,8.140399500000058,9997550
pleia_energy,6,2,46,kWh per 10 minutes,60,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,a7fb23eab8e276cf1692aec7b1d3928e3ec2e9cf037d4dbfff4e0ac7d3af6d87,74.09573549999914,71.9375,3.2941376000089804,384.875,608.91015625,609.6640625,10.108067100009066,6.125,8.116316299987375,9985552
rico,5,2,46,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,bc0f06119e0a0e1ed46353afd0b76b2c92cad9e7003e51737073831e86c9ecd3,127.2996359999961,124.109375,8.790361799998209,449.84765625,621.51171875,622.82421875,23.381054799989215,19.109375,22.421996100005344,9189342
rico,15,2,46,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fba4163656ab14c306dd508668113d90ba96f38e46ee7b8f52fa4a00e8ee546f,138.83898070000578,135.28125,9.980289700004505,457.29296875,622.2890625,623.953125,25.171897699998226,20.1875,22.29777620000823,8785985
rico,30,2,46,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,0db7f0a10aa75d45d291b57c800923360aa803d8a48eb3fa75d6968e1b6a27fe,87.83230829999957,85.0625,9.219914500004961,446.1953125,631.38671875,632.24609375,23.81841859999986,19.3125,22.811967999994522,8225746
rico,60,2,46,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,27622b6cebbf93f20aeec4af03f6497dc542faf718a8e023032df13475a84c65,65.78765919999569,63.40625,8.433376100001624,439.62890625,610.515625,615.15625,23.581314000010025,18.625,21.21371640000143,6399543
bdg2,1,2,46,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,690.692203300001,677.671875,13.992381400006707,820.66015625,820.47265625,984.96484375,27.549179800000275,22.75,22.121081599994795,34570037
bdg2,3,2,46,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,f93cc7009437b45a97bce046887aaf78f96bc32475a26a555e30540eb666b963,714.1887052000093,698.4375,13.849770499989972,980.84375,980.71875,983.66796875,27.785115899998345,23.0625,21.305671500012977,33967340
bdg2,6,2,46,kWh per hour,360,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,ce484c863017f245f239e40a1cfb85455667277e7f8f3899f4fecb6301a7ab69,326.922613200004,319.421875,15.02119450000464,904.34375,904.03125,983.04296875,28.663958999997703,23.4375,21.5911780000024,33996929
pleia,1,2,46,degrees C,10,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,4989341ff9d463b283be2be3ec47d0d71a904ea498b2ec581d160b37a8fe96a9,234.57196169999952,228.703125,7.064881300000707,1142.19140625,1142.31640625,1186.57421875,15.274565300001996,10.53125,12.408616200002143,9780651
pleia,3,2,46,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b27f1feef915808c6510c0377190a06d1c9c41d2cf628facd895b6f01110082d,186.73431990000245,181.59375,7.5068789000069955,1040.703125,1040.953125,1184.04296875,14.888884700005292,10.421875,12.714031100011198,9810156
pleia,6,2,46,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,167204fe887068fae49a0bf3704d7bec6197c99a453a7be4422e9f5affd4de08,118.78296699999191,115.046875,7.245641400004388,1099.04296875,1098.85546875,1184.45703125,15.036334100004751,10.4375,12.563650199997937,9796835
