timestamp,observed,point_forecast,lower,upper,interval_violation,injected_event,alert_3of5,alert_4of7
2021-10-13 23:10:00,24.378349460523904,25.2790478431938,24.87317077348688,26.30263966064837,1,1,1,0
2021-10-13 23:20:00,24.22293682565488,25.27726893795393,24.2908656828966,26.159889189878616,1,1,1,1
2021-10-13 23:30:00,23.967524190785856,25.22018318603469,24.59070978739945,26.225038020173947,1,1,1,1
2021-10-13 23:40:00,23.51211155591683,25.416670628355984,24.648176997898045,26.438173730011822,1,1,1,1
2021-10-13 23:50:00,23.05669892104781,25.40065185253395,24.81057201066601,26.33643349668175,1,1,1,1
2021-10-14 00:00:00,22.501286286178786,25.272621782813808,24.60362781495441,26.19153541940919,1,1,1,1
2021-10-14 00:10:00,22.24587365130976,25.02768860405396,24.25653300741225,26.146700330369374,1,1,1,1
2021-10-14 00:20:00,21.790461016440737,24.61345838326641,24.107338646979542,26.01610518681484,1,1,1,1
2021-10-14 00:30:00,21.635048381571714,24.62754732160691,24.10814352702554,25.890544876965432,1,1,1,1
2021-10-14 00:40:00,21.47963574670269,24.70142282398413,23.82329349585198,25.80184522921702,1,1,1,1
2021-10-14 00:50:00,21.224223111833666,24.683474455009847,24.137416664818375,25.784367682094235,1,1,1,1
2021-10-14 01:00:00,20.768810476964642,24.62286358383252,24.272092197005524,25.641391786951303,1,1,1,1
2021-10-14 01:10:00,20.51339784209562,24.623453861927327,24.225639448346254,25.692884945946957,1,1,1,1
2021-10-14 01:20:00,20.257985207226596,24.621212091556867,23.90914950288316,25.61316552634121,1,1,1,1
2021-10-14 01:30:00,20.20257257235757,24.621212091556867,23.908208904419887,25.61316552634121,1,1,1,1
2021-10-14 01:40:00,19.547159937488544,24.66047372429256,24.03205630132879,25.626043832033904,1,1,1,1
2021-10-14 01:50:00,19.39174730261952,24.680765849760487,23.88432630642068,25.73267489210717,1,1,1,1
2021-10-14 02:00:00,19.236334667750498,24.231638044476338,23.759255338229533,25.288768071563904,1,1,1,1
2021-10-14 02:10:00,18.880922032881475,24.45115992119594,23.762724712531323,25.627444980851603,1,1,1,1
2021-10-14 02:20:00,18.42550939801245,24.66726085449377,23.74661557983425,25.641186513441788,1,1,1,1
2021-10-14 02:30:00,18.070096763143425,24.458981062002483,23.664491016282064,25.7425740760432,1,1,1,1
2021-10-14 02:40:00,17.714684128274406,24.246514599760484,23.71090754760966,25.313247112733563,1,1,1,1
2021-10-14 02:50:00,17.45927149340538,24.247754786755326,23.61411130188818,25.394336986826534,1,1,1,1
2021-10-14 03:00:00,17.003858858536354,24.255457472855245,23.584943540387695,25.27706521958485,1,1,1,1
2021-10-14 03:10:00,16.948446223667332,24.267829553635767,23.323106008508027,25.28979848339,1,1,1,1
2021-10-14 03:20:00,16.793033588798306,24.00693665138813,23.467660103566097,25.10899137975622,1,1,1,1
2021-10-14 03:30:00,17.037620953929284,24.23503001101077,23.529668738757213,24.85438724504665,1,1,1,1
2021-10-14 03:40:00,16.78220831906026,24.25455274319705,23.328098149776157,25.48054379302176,1,1,1,1
2021-10-14 03:50:00,16.326795684191236,24.680358729698337,23.708253791938425,25.9012485775096,1,1,1,1
2021-10-14 04:00:00,15.871383049322212,24.682558240470325,23.732385759908396,25.96052361830592,1,1,1,1
2021-10-14 04:10:00,15.515970414453188,24.45744790768426,23.586672628093865,25.863860951143806,1,1,1,1
